customer_id,age,tenure_months,monthly_recharge,data_usage_gb,num_complaints,plan_type,region,avg_call_drops,churned
1,19,66,858.29,7.82,0,prepaid,south,4,0
2,47,38,504.74,46.86,4,prepaid,north,11,1
3,45,82,685.22,27.99,7,prepaid,north,9,0
4,36,76,369.37,53.46,1,prepaid,north,7,0
5,18,65,340.26,49.43,3,postpaid,north,0,0
6,43,60,420.76,51.29,5,prepaid,south,7,0
7,43,57,365.48,21.78,5,prepaid,south,13,1
8,18,65,497.53,29.2,0,prepaid,east,10,0
9,40,38,287.17,30.82,0,postpaid,east,7,1
10,54,0,639.86,27.33,1,prepaid,south,14,1
11,62,18,941.53,22.18,7,postpaid,east,2,1
12,48,45,664.0,3.64,7,prepaid,west,5,1
13,57,79,830.36,6.29,2,postpaid,west,1,0
14,21,20,239.04,31.88,0,prepaid,north,1,0
15,61,36,494.59,18.75,4,prepaid,east,1,0
16,56,49,544.35,50.49,7,prepaid,west,6,0
17,67,39,322.51,58.23,0,postpaid,east,12,0
18,69,35,953.6,38.1,5,prepaid,north,2,0
19,43,4,798.6,18.03,7,prepaid,north,0,1
20,59,79,438.36,17.86,0,postpaid,east,6,0
21,53,66,512.13,50.27,6,postpaid,east,12,1
22,58,5,209.92,47.25,2,postpaid,south,12,1
23,55,8,343.87,50.71,1,prepaid,north,5,0
24,27,77,818.91,55.75,2,prepaid,north,13,0
25,23,28,273.42,50.09,1,prepaid,south,13,1
26,46,81,376.63,6.6,3,prepaid,north,2,0
27,48,44,390.12,42.83,2,prepaid,east,10,0
28,60,74,891.29,16.8,0,prepaid,south,4,0
29,40,20,272.7,32.87,1,prepaid,west,4,0
30,66,13,684.11,31.21,3,prepaid,east,9,1
31,18,27,666.1,37.16,7,prepaid,east,0,1
32,62,3,191.61,53.26,0,prepaid,east,0,0
33,28,81,857.13,15.09,5,postpaid,south,6,0
34,23,74,798.18,2.97,3,prepaid,east,9,0
35,32,81,806.6,6.5,6,prepaid,south,11,1
36,62,3,603.02,32.49,2,prepaid,south,5,1
37,26,51,412.71,11.1,4,prepaid,east,0,0
38,37,63,218.26,56.05,3,postpaid,south,10,1
39,53,73,777.18,20.18,2,postpaid,south,13,1
40,30,12,720.43,53.55,0,prepaid,west,6,0
41,53,16,903.07,13.65,3,prepaid,south,10,1
42,50,29,616.13,5.45,1,postpaid,east,7,1
43,20,36,715.08,21.74,5,prepaid,east,2,0
44,65,2,600.2,30.81,5,postpaid,north,14,1
45,60,48,174.7,47.69,4,postpaid,west,0,0
46,26,40,346.85,32.86,5,prepaid,south,8,1
47,60,34,602.2,30.34,1,prepaid,east,0,0
48,32,23,117.64,0.61,4,prepaid,east,11,1
49,30,51,514.82,53.92,6,prepaid,east,5,0
50,32,17,580.13,54.15,6,prepaid,north,9,1
51,23,20,712.17,56.73,2,prepaid,east,5,1
52,62,34,811.28,48.33,3,prepaid,east,11,0
53,22,83,513.09,32.86,7,postpaid,south,13,0
54,62,82,703.05,7.64,0,postpaid,north,13,0
