member_id,age,membership_type,monthly_fee,visits_per_month,weight_kg
1,43,basic,20,25,66.5
2,32,premium,70,11,114.9
3,41,basic,20,3,115.2
4,25,premium,70,13,61.7
5,55,standard,40,15,80.9
6,48,basic,20,16,54.0
7,22,premium,70,10,87.7
8,18,premium,70,22,68.0
9,63,basic,20,23,118.6
10,48,basic,20,10,57.6
11,34,standard,40,24,46.7
12,48,basic,20,2,54.5
13,29,standard,40,13,103.6
14,52,standard,40,23,66.1
15,21,basic,20,18,62.4
16,28,basic,20,17,47.7
17,20,basic,20,0,113.8
18,44,standard,40,6,91.6
19,29,standard,40,27,72.5
20,45,basic,20,3,55.9
21,18,standard,40,12,78.7
22,45,basic,20,15,65.2
23,57,premium,70,6,81.4
24,21,standard,40,20,112.7
25,46,basic,20,9,108.8
26,44,standard,40,6,88.5
27,52,standard,40,19,99.8
28,24,premium,70,13,62.8
29,53,standard,40,24,95.2
30,32,standard,40,8,89.2
31,41,standard,40,27,
32,61,standard,40,26,57.5
33,62,standard,40,7,69.5
34,38,premium,70,1,45.4
35,30,premium,70,2,72.1
36,24,basic,20,14,73.7
37,21,standard,40,8,70.5
38,42,standard,40,9,111.0
39,25,standard,40,25,84.3
40,64,standard,40,22,59.6
41,29,standard,40,1,75.6
42,63,basic,20,22,52.5
43,39,standard,40,0,116.9
44,16,standard,40,1,111.9
45,48,basic,20,6,63.6
46,32,standard,40,4,102.9
47,22,standard,40,26,83.3
48,32,standard,40,4,112.5
49,41,premium,70,13,50.9
50,62,basic,20,2,114.8
51,24,standard,40,14,64.0
52,31,standard,40,20,80.3
53,22,standard,40,7,70.8
54,31,standard,40,20,100.7
55,41,basic,20,22,50.6
56,40,standard,40,7,76.0
57,44,basic,20,19,57.4
58,52,standard,40,15,58.5
59,41,standard,40,24,91.8
60,16,basic,20,27,77.7
61,49,standard,40,17,106.1
62,63,basic,20,16,65.5
63,54,standard,40,25,93.6
64,41,standard,40,1,57.0
65,16,basic,20,15,66.1
66,59,standard,40,7,105.5
67,35,basic,20,27,90.9
68,35,basic,20,3,115.4
69,60,basic,20,21,81.5
70,42,basic,20,5,49.3
71,33,basic,20,21,95.8
72,29,premium,70,6,112.2
73,48,basic,20,13,83.3
74,16,standard,40,14,90.7
75,31,premium,70,21,48.6
76,26,standard,40,16,61.4
77,48,standard,40,13,53.2
78,18,basic,20,7,106.8
79,36,standard,40,0,81.9
80,21,basic,20,4,110.7
81,21,standard,40,9,64.2
82,31,standard,40,29,67.2
83,28,standard,40,2,69.2
84,53,standard,40,8,88.4
85,39,basic,20,29,106.4
86,39,standard,40,14,92.7
87,49,standard,40,22,62.2
88,55,standard,40,9,49.9
89,30,basic,20,17,50.2
90,21,basic,20,0,98.6
91,29,basic,20,4,68.4
92,48,standard,40,1,67.3
93,40,basic,20,29,110.6
94,60,basic,20,5,90.9
95,36,standard,40,8,68.7
96,60,premium,70,2,90.3
97,38,premium,70,0,105.1
98,41,standard,40,23,67.2
99,54,standard,40,5,68.2
100,52,basic,20,17,111.6
101,51,standard,40,9,78.8
102,48,basic,20,14,68.1
103,60,standard,40,2,91.6
104,17,standard,40,22,94.7
105,33,standard,40,8,65.1
106,26,standard,40,9,98.2
107,62,basic,20,17,88.4
108,58,basic,20,14,70.1
109,16,basic,20,2,79.2
110,18,basic,20,19,105.2
111,62,premium,70,4,98.1
112,55,basic,20,21,105.0
113,18,basic,20,14,51.3
114,44,premium,70,2,84.4
115,25,premium,70,16,108.1
116,58,standard,40,5,107.4
117,36,basic,20,29,80.4
118,49,premium,70,27,52.7
119,22,standard,40,4,53.2
120,33,basic,20,7,81.8
121,16,standard,40,28,87.0
122,21,basic,20,29,81.1
123,63,basic,20,3,54.0
124,22,basic,20,6,95.2
125,60,basic,20,25,94.6
126,49,premium,70,21,113.8
127,22,basic,20,28,52.2
128,43,standard,40,6,118.4
129,55,basic,20,7,97.0
130,21,basic,20,8,119.5
131,48,basic,20,19,57.0
132,29,basic,20,8,103.0
133,59,standard,40,4,114.3
