day,outlook,temperature,humidity,wind,play_golf
1,rainy,25,59,weak,yes
2,sunny,27,75,weak,yes
3,overcast,35,64,weak,no
4,rainy,19,34,weak,yes
5,rainy,29,57,weak,no
6,overcast,20,42,weak,yes
7,overcast,36,68,weak,no
8,rainy,33,71,strong,no
9,sunny,33,55,strong,no
10,rainy,19,78,strong,no
11,overcast,31,49,weak,yes
12,overcast,31,93,weak,no
13,rainy,16,68,weak,no
14,rainy,24,59,strong,no
15,sunny,26,33,weak,yes
16,overcast,17,46,weak,yes
17,overcast,16,58,weak,yes
18,rainy,29,46,strong,yes
19,overcast,19,63,strong,no
20,rainy,18,88,strong,no
21,overcast,15,73,strong,no
22,sunny,27,38,weak,yes
23,sunny,27,59,strong,no
24,rainy,33,88,strong,no
25,sunny,25,77,strong,no
26,sunny,16,65,weak,yes
27,sunny,36,68,weak,no
28,overcast,16,80,weak,yes
29,sunny,23,82,weak,yes
30,rainy,20,69,weak,no
31,sunny,36,61,weak,no
32,rainy,25,65,strong,no
33,sunny,27,56,strong,yes
34,overcast,19,57,weak,yes
35,overcast,23,37,weak,yes
36,sunny,34,48,weak,yes
37,sunny,35,43,weak,yes
38,sunny,36,83,strong,no
39,sunny,33,58,weak,yes
40,overcast,17,60,weak,no
41,rainy,32,60,weak,no
42,overcast,23,51,strong,yes
43,sunny,30,57,weak,yes
44,sunny,26,81,strong,no
45,sunny,30,54,strong,no
46,sunny,23,49,weak,yes
47,overcast,31,53,weak,yes
48,sunny,19,48,weak,yes
49,rainy,26,86,weak,no
50,rainy,31,69,weak,no
51,rainy,36,61,weak,no
52,sunny,37,36,weak,yes
53,overcast,36,45,weak,yes
54,sunny,34,53,weak,yes
55,rainy,18,55,weak,no
56,rainy,17,88,weak,yes
57,overcast,23,86,weak,no
58,overcast,31,41,weak,yes
59,sunny,22,71,weak,yes
60,overcast,17,83,strong,no
61,overcast,21,39,strong,no
62,rainy,24,87,weak,no
63,sunny,26,34,strong,no
64,rainy,18,72,weak,no
65,rainy,15,43,weak,yes
66,rainy,25,91,strong,no
67,sunny,35,84,weak,no
68,overcast,16,37,weak,yes
69,sunny,21,78,weak,yes
70,rainy,37,74,weak,no
71,rainy,18,84,weak,no
72,sunny,27,76,weak,no
73,sunny,30,62,weak,yes
74,overcast,24,92,strong,yes
75,rainy,37,52,weak,no
76,rainy,23,41,weak,yes
77,sunny,35,77,strong,no
78,sunny,32,71,weak,yes
79,rainy,19,80,weak,yes
80,rainy,23,54,weak,yes
81,overcast,29,40,weak,yes
82,sunny,22,32,weak,yes
83,overcast,17,48,strong,no
84,rainy,32,46,weak,yes
85,overcast,31,93,strong,no
86,sunny,23,35,strong,no
87,rainy,35,44,weak,yes
88,sunny,37,57,weak,yes
89,overcast,27,68,weak,yes
90,sunny,20,49,weak,no
91,overcast,16,56,weak,yes
92,overcast,22,82,strong,no
93,sunny,25,82,weak,yes
94,overcast,15,91,weak,yes
95,rainy,24,64,strong,no
96,rainy,17,37,weak,no
97,sunny,37,85,strong,no
98,rainy,30,46,strong,no
99,rainy,30,72,weak,no
100,rainy,23,81,strong,no
101,rainy,15,31,strong,no
102,sunny,34,89,weak,yes
103,sunny,35,82,weak,yes
104,sunny,25,42,weak,yes
105,overcast,30,71,weak,yes
106,overcast,28,30,weak,yes
107,overcast,33,78,weak,yes
108,overcast,25,87,strong,no
109,overcast,26,85,strong,yes
110,overcast,17,81,strong,no
111,sunny,26,50,weak,yes
112,overcast,15,91,weak,yes
113,rainy,35,72,strong,no
114,sunny,35,36,weak,yes
115,overcast,23,43,weak,yes
116,rainy,31,75,weak,no
117,rainy,22,42,weak,yes
118,sunny,27,87,weak,yes
119,sunny,17,41,weak,yes
120,sunny,31,71,strong,yes
121,rainy,36,81,weak,no
122,sunny,37,93,weak,no
123,rainy,17,31,weak,no
124,sunny,24,50,strong,no
125,overcast,34,38,weak,yes
126,sunny,20,38,weak,yes
127,sunny,34,93,weak,no
128,rainy,37,39,strong,no
129,sunny,22,60,weak,yes
130,sunny,31,77,weak,yes
131,overcast,34,90,weak,yes
132,sunny,27,71,strong,no
133,overcast,34,62,strong,no
134,sunny,29,76,strong,no
135,sunny,17,69,weak,yes
136,sunny,30,30,weak,yes
137,overcast,37,46,strong,no
138,sunny,20,55,weak,no
139,sunny,21,59,weak,yes
140,overcast,18,64,weak,yes
141,rainy,34,42,strong,no
142,overcast,33,46,weak,yes
143,sunny,32,86,weak,no
144,overcast,20,73,weak,yes
145,rainy,23,66,weak,yes
146,sunny,31,35,weak,yes
147,overcast,36,78,weak,no
148,overcast,15,46,weak,yes
149,sunny,23,88,weak,no
150,rainy,31,44,weak,no
151,rainy,28,38,strong,no
152,sunny,18,94,weak,no
153,overcast,33,69,weak,yes
154,rainy,34,61,weak,yes
155,sunny,30,63,weak,yes
156,overcast,18,85,strong,no
157,rainy,27,34,weak,yes
158,sunny,34,82,weak,no
159,rainy,26,66,strong,no
160,sunny,36,83,weak,yes
161,sunny,18,41,weak,yes
162,overcast,34,81,weak,no
163,rainy,34,30,strong,no
164,sunny,31,47,weak,yes
165,overcast,37,32,strong,yes
166,sunny,36,60,weak,yes
167,rainy,35,79,weak,no
168,overcast,16,68,strong,no
169,overcast,34,56,weak,yes
170,rainy,37,65,weak,no
171,sunny,29,45,weak,yes
172,rainy,29,93,strong,no
173,overcast,18,73,strong,no
174,sunny,32,72,strong,no
175,overcast,15,82,weak,no
176,sunny,22,54,strong,no
177,rainy,17,76,strong,no
178,sunny,26,52,strong,no
179,sunny,26,45,strong,yes
180,rainy,17,42,weak,yes
181,rainy,23,44,weak,no
182,overcast,35,53,strong,yes
183,rainy,19,64,weak,no
184,sunny,21,54,strong,no
185,rainy,32,45,strong,no
186,sunny,18,55,weak,no
187,rainy,17,49,weak,yes
188,rainy,27,91,strong,no
189,sunny,26,70,weak,yes
190,rainy,19,90,strong,no
191,sunny,33,41,weak,yes
192,overcast,22,53,strong,yes
193,overcast,24,60,weak,yes
194,sunny,18,38,weak,yes
195,rainy,36,83,strong,no
196,sunny,22,55,weak,yes
197,sunny,22,59,strong,no
198,overcast,15,72,strong,no
199,overcast,19,77,weak,yes
200,rainy,33,58,weak,no
201,overcast,20,55,strong,no
202,sunny,23,36,weak,yes
203,sunny,17,55,weak,yes
204,sunny,36,60,strong,yes
205,sunny,29,94,strong,no
206,rainy,36,68,strong,no
207,overcast,31,78,weak,yes
208,sunny,26,57,weak,yes
209,rainy,17,43,weak,no
210,sunny,16,63,weak,no
211,overcast,16,48,strong,no
212,overcast,33,92,strong,no
213,rainy,18,65,strong,no
214,sunny,36,58,weak,yes
215,rainy,23,85,weak,no
216,overcast,32,85,weak,yes
217,rainy,24,70,weak,yes
218,sunny,25,41,weak,yes
219,sunny,26,66,weak,yes
220,rainy,16,54,weak,yes
221,sunny,30,32,strong,no
222,rainy,25,75,weak,no
223,sunny,15,57,strong,no
224,rainy,23,42,strong,no
225,overcast,17,43,strong,yes
226,overcast,35,36,weak,yes
227,sunny,30,54,weak,yes
228,rainy,25,51,weak,yes
229,rainy,28,65,strong,no
230,rainy,33,88,weak,no
231,overcast,26,71,weak,yes
232,sunny,24,77,weak,no
233,sunny,32,47,strong,no
234,rainy,27,75,weak,no
235,sunny,20,73,strong,no
236,sunny,15,65,weak,yes
237,overcast,24,60,weak,yes
238,rainy,27,31,weak,no
239,rainy,19,79,strong,no
240,rainy,28,43,strong,no
241,rainy,35,93,weak,no
242,rainy,36,49,weak,yes
243,rainy,17,42,strong,no
244,overcast,16,39,strong,no
245,overcast,20,88,strong,no
246,sunny,18,75,weak,yes
247,overcast,24,48,weak,yes
248,sunny,21,60,weak,yes
249,overcast,28,85,strong,no
250,overcast,31,37,strong,yes
251,overcast,34,72,strong,yes
252,sunny,16,72,strong,no
253,sunny,33,35,strong,yes
254,sunny,31,87,weak,yes
255,rainy,27,31,strong,no
256,sunny,15,93,weak,no
257,rainy,27,43,strong,no
258,rainy,15,48,strong,no
259,overcast,32,77,weak,yes
260,sunny,33,64,weak,yes
261,rainy,16,85,strong,no
262,overcast,27,77,weak,yes
263,overcast,34,62,weak,yes
264,overcast,29,45,weak,yes
265,sunny,25,70,weak,yes
266,sunny,18,56,strong,no
267,rainy,34,40,weak,yes
268,rainy,25,90,weak,no
269,sunny,21,50,weak,yes
270,overcast,32,51,strong,yes
271,sunny,27,52,strong,yes
272,rainy,37,66,weak,yes
273,rainy,20,31,strong,no
274,rainy,28,51,strong,no
275,sunny,35,33,weak,yes
276,overcast,21,30,strong,no
277,sunny,17,43,weak,yes
278,overcast,16,45,weak,yes
279,sunny,33,45,weak,yes
