ram_gb,storage_gb,battery_mah,brand,camera_mp,price
8,64,3139,xiaomi,64,23649.81
8,128,5316,xiaomi,64,26466.28
4,128,5050,samsung,48,21530.52
4,512,3665,apple,200,63765.12
4,128,3608,xiaomi,48,17434.6
16,128,3022,oneplus,64,32093.25
16,128,5707,oneplus,12,30163.89
12,512,3170,xiaomi,64,32846.67
6,64,5384,samsung,108,25637.0
6,64,4738,apple,108,55637.39
8,64,5275,apple,200,61311.64
8,64,3193,samsung,108,23754.48
12,512,4822,xiaomi,48,34885.42
12,128,3391,apple,108,58194.66
16,512,4804,xiaomi,108,39830.9
4,256,3586,samsung,108,25281.88
16,64,4622,apple,12,58769.45
16,256,4165,oneplus,12,32670.12
12,128,5587,oneplus,64,33093.34
16,64,4366,oneplus,200,37599.12
16,64,3578,samsung,200,36702.99
12,512,3725,samsung,12,31500.08
16,512,5096,xiaomi,64,36766.87
12,128,3411,samsung,12,25856.54
12,512,4876,xiaomi,12,33028.36
6,512,4324,samsung,48,31146.86
16,64,3849,apple,12,53316.9
16,128,5577,samsung,12,31521.16
6,512,4346,oneplus,48,30973.35
8,512,3495,oneplus,48,32282.44
6,128,3427,samsung,200,30234.11
8,64,4187,apple,64,51240.8
4,512,4731,oneplus,64,31799.46
4,64,4777,oneplus,48,21919.48
4,128,4788,apple,108,52811.75
12,256,4117,oneplus,200,39332.43
4,256,3958,xiaomi,48,21137.83
8,128,5574,apple,48,51289.01
8,256,3389,oneplus,108,29580.17
12,64,5566,samsung,108,31186.76
6,256,4133,samsung,108,28076.86
4,128,4877,xiaomi,48,19505.01
16,128,4012,xiaomi,64,31339.45
16,128,4989,oneplus,108,37288.58
4,64,5433,xiaomi,200,26876.47
16,256,4497,oneplus,200,42178.87
4,128,4630,xiaomi,200,26813.04
8,256,5429,xiaomi,48,26297.38
12,256,5433,samsung,108,35108.72
12,256,3232,xiaomi,64,29499.6
16,256,4223,oneplus,108,36261.84
4,256,3438,xiaomi,200,25685.42
12,512,5900,xiaomi,200,44359.65
4,64,4798,oneplus,200,28063.23
16,128,3462,samsung,12,27250.29
8,512,5600,samsung,48,35074.03
16,128,5948,apple,108,65602.82
12,256,4220,xiaomi,108,32230.48
6,512,3032,xiaomi,48,24821.85
6,128,3960,samsung,200,29388.07
16,512,5088,xiaomi,200,43732.11
4,128,5626,apple,48,50826.62
6,64,4212,oneplus,108,25770.23
6,256,3673,xiaomi,108,26599.21
4,512,5740,xiaomi,108,32949.34
4,64,4308,apple,108,50812.86
8,256,4801,xiaomi,64,27486.18
8,256,5079,xiaomi,200,33411.56
12,128,5278,xiaomi,64,28126.7
8,512,4121,samsung,200,40099.58
16,64,5322,oneplus,200,39419.58
12,128,3274,apple,48,56118.66
16,64,4291,apple,108,62354.62
12,128,4368,xiaomi,200,32569.51
6,128,3124,xiaomi,200,28057.24
16,64,4743,xiaomi,12,25976.94
12,64,4508,apple,200,65623.69
8,256,4891,oneplus,12,27655.89
6,256,4863,oneplus,12,28398.49
12,128,4367,samsung,108,29801.62
4,128,4277,xiaomi,108,21103.6
4,512,5972,samsung,64,32525.39
12,256,3450,xiaomi,108,28628.72
8,128,4338,xiaomi,48,22655.99
6,256,3062,samsung,108,28213.95
16,64,5734,oneplus,64,36272.62
6,256,3902,samsung,64,26078.59
6,512,3369,apple,12,54924.52
12,64,4294,samsung,108,32578.72
16,128,3561,xiaomi,48,29943.93
8,512,3159,xiaomi,12,27901.67
12,512,4845,xiaomi,64,36224.84
12,64,3404,samsung,12,24409.67
