monthly_income,credit_score,job_type,existing_loans,savings_ratio,creditworthy
98514,563,retired,0,0.43,1
46922,417,business,4,0.3,0
74262,682,salaried,3,0.51,1
29096,434,business,3,0.44,0
142961,658,student,1,0.07,1
100946,318,retired,4,0.59,0
142279,394,salaried,0,0.38,1
22017,317,student,0,0.12,0
93808,560,salaried,0,0.35,1
24717,872,student,1,0.02,0
108755,786,business,0,0.04,1
91838,311,student,2,0.25,0
25319,678,salaried,2,0.44,0
117166,805,salaried,0,0.18,1
58676,596,salaried,3,0.16,0
30403,495,business,0,0.55,0
104018,826,student,1,0.11,1
76727,582,student,4,0.34,0
145779,371,student,2,0.32,0
125674,476,salaried,2,0.19,1
130880,420,student,3,0.38,0
114685,695,salaried,4,0.52,1
75910,345,business,4,0.51,0
77992,801,student,4,0.13,0
25222,504,retired,3,0.48,0
42568,794,salaried,0,0.05,1
14137,391,salaried,3,0.48,0
18179,723,salaried,2,0.29,0
106656,519,business,2,0.11,1
103779,551,business,3,0.18,1
23470,876,business,3,0.51,1
8194,437,salaried,3,0.24,0
129206,710,salaried,4,0.35,1
22676,611,salaried,4,0.11,0
122645,657,salaried,0,0.22,1
26563,741,retired,3,0.51,0
9361,387,salaried,2,0.02,0
26974,676,business,2,0.44,0
129019,528,student,1,0.01,0
83381,623,retired,3,0.12,0
35268,481,salaried,0,0.52,1
143595,834,salaried,4,0.56,1
140461,867,salaried,4,0.27,1
10258,778,retired,3,0.06,0
36924,799,salaried,0,0.53,1
137551,367,business,3,0.23,0
12385,473,student,4,0.54,0
118681,493,student,1,0.25,0
53440,716,retired,0,0.16,1
62581,338,student,2,0.08,0
71038,649,salaried,4,0.6,0
77926,659,student,3,0.14,0
53307,873,salaried,1,0.55,1
75314,701,salaried,1,0.23,1
108556,491,salaried,1,0.57,1
105501,471,business,0,0.53,1
115030,426,business,4,0.08,0
17220,630,student,0,0.01,0
128496,868,retired,1,0.6,1
140836,645,business,2,0.28,1
131601,670,salaried,1,0.02,1
143513,406,business,0,0.39,1
14266,753,business,3,0.33,0
66852,433,business,1,0.12,0
129914,763,salaried,3,0.38,1
32344,351,student,1,0.09,0
23546,835,business,2,0.12,1
66500,361,salaried,3,0.29,0
74486,338,business,1,0.37,0
131974,745,student,2,0.25,1
55628,447,retired,4,0.43,0
149315,601,student,4,0.3,0
42464,475,salaried,0,0.26,0
95847,480,retired,4,0.26,0
45452,545,student,4,0.03,0
106392,598,retired,1,0.29,1
11985,582,salaried,4,0.29,0
98435,569,salaried,1,0.53,1
101676,372,business,2,0.56,1
23763,866,student,4,0.34,0
66643,476,salaried,0,0.36,0
74036,522,salaried,3,0.5,0
45952,550,salaried,2,0.12,0
35272,546,business,1,0.5,1
112827,716,salaried,0,0.07,1
38151,597,student,1,0.07,0
104673,637,business,4,0.53,1
64774,441,salaried,3,0.37,0
39462,765,retired,3,0.56,0
142424,412,salaried,1,0.27,1
46759,837,business,4,0.12,0
24476,694,student,4,0.03,0
129060,628,salaried,2,0.25,1
9327,831,salaried,0,0.35,1
16968,872,student,1,0.14,0
147342,677,salaried,2,0.51,1
135923,682,salaried,0,0.5,1
105517,474,business,0,0.2,1
10580,483,salaried,3,0.52,0
27070,327,retired,2,0.55,0
99242,657,salaried,1,0.6,1
146163,734,student,2,0.31,1
132441,555,salaried,1,0.14,1
133728,393,salaried,4,0.04,0
97985,648,salaried,0,0.2,1
110635,533,salaried,0,0.38,1
35902,603,salaried,3,0.39,0
110240,663,student,1,0.03,0
136881,360,salaried,0,0.44,1
100040,316,student,1,0.18,0
12597,860,student,0,0.17,0
149119,688,student,1,0.26,1
25280,311,salaried,2,0.52,0
116724,364,business,0,0.59,1
27874,407,student,2,0.59,0
125889,571,business,1,0.54,1
114734,510,business,4,0.11,0
39518,515,salaried,2,0.18,0
22927,498,student,3,0.51,0
20696,498,business,1,0.38,0
87961,785,student,3,0.4,0
80929,570,salaried,1,0.44,1
125139,767,salaried,0,0.54,1
84384,829,salaried,4,0.12,1
117490,303,retired,1,0.47,0
13905,502,salaried,4,0.45,0
72993,441,salaried,3,0.55,0
64146,803,student,3,0.27,0
115173,402,salaried,4,0.01,0
48012,606,business,1,0.53,1
31115,370,business,3,0.53,0
70054,806,student,4,0.57,0
124970,715,retired,4,0.4,1
80330,721,salaried,2,0.36,1
23550,490,business,3,0.56,0
18956,654,salaried,4,0.57,0
99302,780,business,1,0.08,1
86254,711,retired,4,0.29,0
99547,639,salaried,1,0.12,1
41471,705,salaried,0,0.42,1
14158,810,retired,4,0.22,0
62671,346,salaried,2,0.2,0
73794,424,salaried,0,0.42,1
83341,541,business,0,0.49,1
75015,827,salaried,0,0.42,1
52617,765,student,4,0.2,0
22270,548,business,1,0.48,0
18085,764,salaried,0,0.4,1
53384,489,retired,0,0.02,0
92867,537,salaried,1,0.16,1
12605,437,business,2,0.58,0
145222,806,salaried,1,0.46,1
88720,730,salaried,0,0.18,1
62896,600,salaried,4,0.54,0
104418,590,student,2,0.53,1
10327,406,salaried,3,0.26,0
44189,476,business,2,0.2,0
29900,825,salaried,0,0.15,1
55800,585,salaried,3,0.17,0
97121,310,student,4,0.52,0
69163,395,business,1,0.57,1
85137,316,student,2,0.24,0
128984,391,salaried,3,0.14,0
112673,449,salaried,3,0.39,0
8136,792,salaried,2,0.4,0
51951,619,salaried,0,0.17,1
16729,888,retired,4,0.19,0
91660,781,salaried,1,0.27,1
71112,565,student,3,0.09,0
24443,756,business,3,0.14,0
131413,772,business,1,0.51,1
53098,761,business,3,0.37,1
95158,713,business,4,0.6,1
47101,577,salaried,3,0.4,0
140138,796,business,2,0.04,1
59034,412,retired,1,0.35,0
113872,351,business,2,0.3,1
133641,555,business,3,0.56,1
146803,677,salaried,1,0.12,1
19904,306,student,1,0.02,0
63891,341,business,2,0.22,0
67317,323,salaried,4,0.11,0
97040,364,salaried,1,0.5,1
24836,664,salaried,4,0.36,0
83458,388,student,1,0.51,0
126298,829,salaried,4,0.04,1
19119,600,business,4,0.04,0
31113,354,salaried,1,0.57,0
55093,466,business,4,0.51,0
13755,513,salaried,3,0.47,0
80014,666,business,3,0.38,1
146199,753,salaried,0,0.26,1
96391,806,salaried,2,0.39,1
75034,476,salaried,3,0.14,0
136784,498,salaried,1,0.48,1
130930,539,salaried,4,0.06,1
92617,856,salaried,0,0.05,1
79096,599,retired,0,0.45,1
66616,560,salaried,3,0.45,0
24851,752,salaried,3,0.54,0
50759,601,student,1,0.28,0
139733,535,student,3,0.4,1
82207,545,salaried,3,0.53,1
23980,684,student,4,0.26,0
8571,513,retired,1,0.21,0
13741,414,business,0,0.47,0
78906,472,business,0,0.19,1
79464,769,retired,3,0.25,0
100293,303,salaried,3,0.54,0
95880,839,student,4,0.28,0
32318,599,student,4,0.38,0
46910,881,salaried,2,0.0,1
40713,493,retired,3,0.07,0
72843,565,business,1,0.58,1
16617,461,salaried,2,0.48,0
101594,360,salaried,4,0.19,0
89946,501,student,2,0.09,0
72376,370,retired,2,0.59,0
109088,650,student,0,0.36,1
92856,394,salaried,0,0.45,1
143991,429,student,0,0.56,1
54420,358,student,1,0.19,0
128701,377,student,3,0.29,0
114433,781,salaried,4,0.47,1
87065,672,business,2,0.36,1
93304,788,salaried,3,0.48,1
109641,635,salaried,1,0.55,1
34395,526,salaried,0,0.11,0
103556,634,salaried,3,0.43,1
145189,737,salaried,4,0.4,1
115592,468,salaried,2,0.29,1
45644,703,business,4,0.32,0
70963,435,salaried,4,0.42,0
73374,724,student,4,0.12,0
36536,466,salaried,2,0.59,0
122807,622,salaried,0,0.04,1
49507,731,business,0,0.47,1
29834,837,salaried,1,0.19,0
17865,834,salaried,0,0.37,1
81161,895,business,0,0.43,1
133601,822,business,0,0.47,1
128851,405,business,2,0.0,1
62745,676,salaried,0,0.42,1
51023,862,business,0,0.45,1
144763,880,salaried,2,0.21,1
66369,751,student,2,0.36,0
66557,391,student,4,0.23,0
30833,461,salaried,1,0.13,0
30992,490,salaried,3,0.02,0
84105,837,retired,3,0.35,1
145630,367,business,4,0.14,0
89728,644,student,0,0.15,0
120483,766,salaried,0,0.44,1
38799,884,salaried,0,0.38,1
16415,645,business,0,0.2,0
126160,371,salaried,2,0.09,0
45352,306,salaried,2,0.56,0
10148,323,student,2,0.09,0
43263,598,retired,4,0.13,0
57775,898,retired,0,0.07,1
57147,373,salaried,4,0.32,0
52485,871,salaried,1,0.15,1
120578,897,salaried,2,0.07,1
21149,380,salaried,0,0.46,0
97926,378,salaried,2,0.34,0
69043,420,business,0,0.52,1
146490,334,business,2,0.47,1
51990,591,student,4,0.56,0
31347,451,student,4,0.18,0
87382,895,salaried,4,0.09,1
39438,608,salaried,4,0.05,0
130464,314,salaried,0,0.59,1
120076,635,salaried,4,0.09,1
21076,375,business,2,0.38,0
117464,365,student,1,0.24,0
37896,586,salaried,0,0.25,0
26383,337,student,3,0.53,0
58632,346,business,1,0.03,0
44641,830,salaried,4,0.37,1
106933,801,student,2,0.5,1
128296,594,business,1,0.24,1
111347,751,student,3,0.46,1
54479,325,salaried,2,0.23,0
76728,646,salaried,2,0.12,1
34293,678,salaried,3,0.37,0
137550,816,salaried,3,0.53,1
39771,551,student,1,0.09,0
36235,379,business,3,0.5,0
103788,587,business,2,0.46,1
32412,615,business,0,0.12,0
20051,587,student,2,0.43,0
42389,431,business,0,0.24,0
91080,445,student,2,0.02,0
100943,626,salaried,0,0.18,1
143414,839,salaried,1,0.32,1
59432,566,student,0,0.06,0
8802,466,salaried,3,0.08,0
53471,864,student,0,0.1,1
121251,645,salaried,2,0.14,1
59642,367,business,3,0.23,0
12417,879,retired,1,0.56,1
27603,638,salaried,2,0.57,0
115874,364,business,1,0.49,1
68651,400,salaried,1,0.26,0
69478,581,salaried,0,0.13,1
16621,419,salaried,4,0.24,0
18995,706,salaried,3,0.58,0
34970,504,student,0,0.47,0
102382,631,salaried,3,0.04,1
37718,644,business,0,0.01,1
129252,844,salaried,1,0.37,1
60451,501,student,1,0.59,0
45944,373,student,4,0.24,0
133962,635,business,4,0.44,1
15302,671,business,3,0.33,0
45251,766,retired,1,0.58,1
12200,757,business,4,0.49,0
140604,321,student,0,0.04,0
110913,463,salaried,3,0.06,0
147940,519,salaried,3,0.56,1
149303,839,business,1,0.12,1
51656,423,business,1,0.45,0
81130,861,business,1,0.31,1
79576,633,salaried,0,0.39,1
117146,305,business,0,0.32,1
35271,546,salaried,0,0.03,0
139315,894,student,3,0.16,1
73339,865,salaried,3,0.44,1
67721,553,salaried,0,0.34,1
43325,666,salaried,1,0.51,1
40258,665,student,3,0.28,0
59006,806,retired,2,0.21,1
91457,349,salaried,1,0.02,0
51581,476,salaried,2,0.24,0
105529,689,salaried,1,0.13,1
54407,655,salaried,4,0.43,0
20538,410,salaried,3,0.15,0
141044,328,business,3,0.38,1
19231,531,salaried,2,0.54,0
77065,691,salaried,1,0.31,1
102658,434,salaried,4,0.48,0
10285,320,salaried,4,0.06,0
106746,841,salaried,2,0.08,1
17940,691,business,0,0.11,0
93784,819,salaried,0,0.42,1
84520,707,student,0,0.17,1
126525,492,business,3,0.23,1
47333,660,salaried,4,0.34,0
120559,707,salaried,4,0.05,1
13289,526,salaried,0,0.11,0
111457,445,salaried,2,0.45,1
48067,897,salaried,1,0.1,1
134500,705,business,1,0.33,1
147329,878,retired,2,0.01,1
59498,495,salaried,0,0.5,1
138198,886,salaried,0,0.37,1
46677,748,business,2,0.35,1
44823,808,salaried,1,0.6,1
85432,890,business,0,0.58,1
136697,824,business,2,0.52,1
61669,821,business,1,0.46,1
109641,726,retired,1,0.27,1
21668,480,salaried,3,0.31,0
69093,652,salaried,4,0.48,0
17413,766,student,4,0.51,0
137618,882,retired,0,0.29,1
113321,699,student,1,0.29,1
62015,598,salaried,1,0.59,1
15306,488,business,3,0.08,0
30675,771,retired,2,0.44,0
111428,822,salaried,0,0.47,1
107911,724,salaried,3,0.48,1
75287,747,salaried,3,0.13,1
84509,550,salaried,0,0.23,1
33944,591,salaried,2,0.53,0
9158,735,student,4,0.15,0
132147,897,business,4,0.5,1
56133,891,business,1,0.1,1
148901,702,retired,3,0.55,1
94868,407,salaried,2,0.36,0
40289,674,retired,3,0.24,0
28340,746,business,0,0.35,1
131928,779,business,3,0.29,1
116968,418,salaried,2,0.15,0
76290,827,student,1,0.56,1
9493,709,salaried,1,0.35,0
12513,460,salaried,1,0.02,0
87035,559,business,4,0.54,1
89702,365,business,3,0.26,0
109021,551,business,3,0.57,1
38183,828,student,4,0.46,0
75036,624,business,4,0.2,0
23965,780,salaried,3,0.56,0
110845,436,salaried,2,0.24,1
11991,835,business,2,0.26,0
66503,606,salaried,0,0.03,1
102822,519,business,4,0.45,0
33530,619,student,3,0.18,0
99751,311,student,3,0.58,0
115110,836,salaried,0,0.59,1
34559,740,salaried,2,0.54,1
36559,599,business,0,0.43,1
138195,503,salaried,0,0.48,1
132887,585,salaried,1,0.51,1
110365,780,salaried,1,0.22,1
111108,852,salaried,2,0.17,1
39701,432,salaried,1,0.35,0
61993,408,business,4,0.19,0
64077,708,salaried,4,0.17,0
15304,571,salaried,3,0.58,0
38811,501,retired,1,0.02,0
33919,305,salaried,2,0.29,0
128939,803,salaried,3,0.44,1
49072,454,retired,0,0.39,0
124202,527,business,4,0.59,1
133900,880,salaried,0,0.27,1
79014,802,salaried,4,0.14,1
101262,890,business,0,0.08,1
95463,382,business,4,0.13,0
63763,563,business,4,0.43,0
120877,627,salaried,0,0.45,1
21399,664,salaried,3,0.41,0
107552,547,salaried,0,0.21,1
145935,756,business,0,0.39,1
63031,665,salaried,0,0.09,1
116818,646,student,1,0.58,1
98920,879,student,3,0.14,0
36914,617,salaried,0,0.57,1
32188,589,retired,1,0.34,0
66653,472,salaried,3,0.17,0
24342,510,salaried,4,0.22,0
90703,468,business,2,0.33,0
107740,793,salaried,0,0.34,1
9900,435,business,3,0.32,0
22284,514,salaried,1,0.57,0
129017,856,student,1,0.21,1
37413,709,business,3,0.27,0
105564,633,retired,0,0.06,1
60467,614,business,4,0.14,0
57777,405,salaried,1,0.43,0
102070,577,business,0,0.49,1
57199,542,business,4,0.13,0
43218,729,retired,4,0.58,0
114814,434,business,1,0.34,1
56902,759,student,0,0.1,0
34987,345,salaried,2,0.44,0
38319,494,salaried,2,0.57,0
58082,700,student,4,0.29,0
81445,511,retired,2,0.58,0
119811,751,business,2,0.27,1
133253,344,salaried,0,0.5,1
131972,837,salaried,0,0.17,1
104183,808,retired,4,0.24,1
110094,688,salaried,4,0.58,1
104312,570,student,3,0.05,0
105433,669,business,4,0.28,1
125938,659,business,3,0.55,1
34318,581,salaried,3,0.46,0
67503,529,student,3,0.37,0
111116,752,salaried,3,0.07,1
56683,438,retired,4,0.42,0
119847,841,retired,2,0.42,1
89866,537,salaried,1,0.07,1
96453,811,business,4,0.09,1
127669,351,student,0,0.58,1
142862,834,salaried,2,0.5,1
16082,893,student,4,0.37,0
31957,496,salaried,4,0.57,0
116954,482,salaried,2,0.32,1
128583,397,salaried,0,0.58,1
141833,826,business,1,0.59,1
67817,838,salaried,0,0.07,1
28304,403,business,4,0.0,0
61413,862,business,0,0.52,1
63343,536,business,3,0.12,0
118396,428,salaried,3,0.49,1
96937,649,salaried,0,0.25,1
10032,841,business,1,0.28,1
48000,885,salaried,0,0.24,1
106114,882,business,4,0.23,1
123690,381,student,0,0.38,1
134718,876,salaried,2,0.16,1
20962,566,salaried,4,0.18,0
64616,461,retired,0,0.17,0
109979,792,salaried,0,0.41,1
138150,554,student,2,0.1,0
116910,718,business,1,0.52,1
63285,504,business,4,0.54,0
126000,468,business,0,0.34,1
112474,569,salaried,3,0.06,1
32519,373,salaried,3,0.41,0
110597,321,salaried,4,0.11,0
84955,828,salaried,4,0.22,1
29235,380,salaried,4,0.06,0
86470,855,salaried,4,0.19,1
48262,643,salaried,2,0.24,0
26383,525,salaried,4,0.38,0
135116,436,salaried,0,0.29,1
121594,573,retired,4,0.47,1
119317,352,student,4,0.54,0
42552,663,salaried,1,0.43,1
78147,301,salaried,2,0.08,0
37224,467,salaried,0,0.15,0
92501,377,salaried,0,0.34,1
56945,377,salaried,4,0.57,0
65642,415,retired,0,0.14,0
36683,356,salaried,3,0.17,0
73743,301,salaried,3,0.16,0
101224,463,salaried,1,0.4,1
116165,663,salaried,4,0.11,1
72288,440,salaried,3,0.5,0
124960,494,business,0,0.18,1
51049,557,salaried,0,0.43,1
35710,735,student,2,0.51,0
72742,407,business,4,0.12,0
82279,658,salaried,4,0.52,1
28155,403,business,1,0.09,0
126369,599,salaried,1,0.17,1
93463,551,business,0,0.09,1
96799,853,salaried,3,0.06,1
79961,675,salaried,4,0.28,0
32938,349,retired,3,0.49,0
43394,593,salaried,3,0.32,0
72433,412,salaried,2,0.32,0
25869,651,student,4,0.21,0
56588,322,retired,4,0.6,0
142542,689,salaried,3,0.57,1
123544,337,retired,2,0.27,0
33825,558,salaried,2,0.37,0
54289,486,business,4,0.39,0
119954,518,business,3,0.14,1
44891,811,salaried,2,0.01,0
83442,741,student,3,0.04,0
126141,624,student,0,0.17,1
131658,697,salaried,3,0.31,1
106233,712,salaried,3,0.57,1
143279,864,salaried,1,0.26,1
98421,806,business,0,0.06,1
24574,842,student,1,0.09,0
16677,538,student,0,0.54,0
57300,404,business,1,0.23,0
93458,630,student,4,0.32,0
81439,571,student,2,0.42,0
145558,438,student,3,0.05,0
90358,842,salaried,3,0.48,1
86334,325,salaried,0,0.54,1
132801,790,business,3,0.59,1
34999,450,salaried,1,0.26,0
128014,375,student,1,0.42,0
89633,829,business,0,0.51,1
53466,680,salaried,3,0.14,0
129769,424,student,0,0.49,1
122971,823,salaried,1,0.47,1
108779,427,salaried,3,0.59,1
144056,680,retired,3,0.56,1
73385,404,salaried,0,0.45,0
105104,445,retired,1,0.04,0
55341,828,salaried,4,0.45,1
147793,373,salaried,0,0.37,1
40454,880,salaried,1,0.38,1
124021,822,retired,3,0.3,1
58381,882,business,2,0.52,1
60950,396,salaried,3,0.54,0
33580,429,salaried,1,0.04,0
96621,553,student,3,0.32,0
70383,578,salaried,0,0.54,1
94876,671,business,1,0.29,1
129617,473,business,1,0.5,1
131229,562,retired,4,0.24,1
89796,385,student,3,0.22,0
113275,828,salaried,2,0.35,1
106400,438,business,2,0.01,1
48734,782,salaried,2,0.1,0
109823,862,salaried,3,0.18,1
130942,784,student,3,0.45,1
101629,801,business,0,0.51,1
30722,491,salaried,4,0.04,0
135492,313,salaried,4,0.16,0
65075,757,salaried,0,0.51,1
105071,650,salaried,0,0.36,1
22179,783,salaried,0,0.0,1
125309,304,retired,2,0.48,0
45851,521,retired,2,0.23,0
132702,706,salaried,0,0.47,1
35061,820,salaried,2,0.12,0
21917,760,salaried,3,0.05,0
80781,431,retired,4,0.24,0
