age_years,km_driven,engine_cc,bike_type,num_owners,price
5,74019,617,scooter,2,74764.69
8,73106,352,sport,1,76346.88
3,15245,442,scooter,1,91986.42
11,30229,202,scooter,1,39996.01
2,67788,957,commuter,3,111131.5
8,25950,590,sport,1,100680.92
10,35346,843,cruiser,3,93838.28
11,45042,101,commuter,3,30055.71
1,72346,437,scooter,1,82303.25
10,60077,294,cruiser,3,54740.51
9,15418,970,cruiser,1,116197.03
2,30619,175,sport,1,103166.9
1,74429,368,sport,2,102122.11
5,25789,917,commuter,3,108370.07
6,28213,866,scooter,3,97055.28
5,46567,900,commuter,3,102459.93
8,3387,411,scooter,3,65872.12
5,11350,119,sport,2,94416.59
14,23861,470,scooter,1,38549.4
3,59832,917,commuter,1,115493.11
8,19511,861,commuter,3,92963.67
2,37476,504,sport,1,122469.63
12,68803,279,commuter,3,29274.17
13,6429,910,sport,3,108860.13
5,23551,943,cruiser,3,124920.72
0,56924,182,sport,1,109440.78
8,60198,457,commuter,1,61823.55
5,49475,226,cruiser,3,79039.79
6,17022,696,commuter,3,100442.11
10,37557,789,sport,1,107327.94
3,77669,429,scooter,1,73875.51
6,1160,104,commuter,1,69276.01
6,25017,175,commuter,3,60604.15
11,78162,373,sport,1,62596.32
3,54173,653,sport,3,117229.64
14,42195,873,commuter,1,63256.16
12,7266,903,sport,3,107163.64
0,57118,116,sport,3,96481.79
11,6460,490,commuter,2,63694.47
8,27225,843,commuter,1,98143.08
12,42055,651,commuter,3,60010.12
10,5397,155,cruiser,1,60664.84
6,4318,460,commuter,3,84174.69
12,47673,644,commuter,2,59602.3
2,41624,437,scooter,1,85680.28
7,55784,172,commuter,2,45115.14
8,18556,408,commuter,3,65364.54
9,52075,731,sport,3,97513.67
5,25583,781,sport,3,128234.78
14,12086,981,cruiser,1,95049.58
12,57485,180,cruiser,2,43485.2
6,42105,721,commuter,2,87508.77
9,59071,732,scooter,1,67569.12
5,27468,716,cruiser,1,117386.67
4,43196,821,commuter,3,100198.19
10,28359,969,sport,2,116605.8
1,41244,765,commuter,2,117658.49
10,51172,676,commuter,3,65466.92
0,70331,356,commuter,2,87338.58
1,16324,623,cruiser,3,125143.81
12,18909,580,cruiser,3,71522.17
13,34626,777,commuter,2,70212.18
14,71765,403,scooter,2,15367.32
12,74360,503,commuter,1,40617.79
8,47619,982,commuter,1,97808.6
13,50621,553,commuter,2,47064.86
11,56084,279,commuter,1,39929.19
8,73995,677,scooter,3,64757.56
14,10664,104,cruiser,2,39157.3
12,10641,155,commuter,2,36718.96
2,46959,258,commuter,1,82185.21
13,26075,534,cruiser,2,69293.98
3,18870,971,commuter,2,125818.35
7,12467,280,sport,1,98665.05
7,64113,492,cruiser,3,81855.51
14,39333,198,commuter,1,21740.26
14,47771,406,scooter,2,24165.73
3,67641,825,commuter,3,100743.56
7,6496,194,sport,2,93256.81
0,47586,454,sport,3,122343.33
14,32787,372,cruiser,2,55051.84
2,33960,744,scooter,1,108008.41
2,30465,645,commuter,2,105299.67
11,48042,342,sport,3,64867.78
5,23536,943,scooter,3,111486.12
12,39955,212,cruiser,2,47313.24
11,15396,354,sport,1,78816.08
