movie_id,genre,language,runtime_min,critic_score,audience_score,release_year,num_awards,recommend
1,animation,hindi,128,26.8,90.9,2010,5,1
2,animation,english,105,63.5,95.6,2018,6,1
3,thriller,english,168,92.7,68.6,2013,2,1
4,animation,english,165,33.5,42.3,2012,11,0
5,animation,english,177,83.1,81.7,2015,4,1
6,drama,hindi,177,80.2,87.1,2001,9,1
7,action,english,151,54.8,27.3,2004,2,0
8,drama,english,112,86.5,66.2,1995,0,1
9,animation,english,84,42.5,57.0,2020,10,0
10,drama,hindi,83,73.5,41.2,2020,3,1
11,thriller,english,147,42.2,22.6,2003,6,0
12,comedy,spanish,136,93.1,85.2,1995,9,1
13,comedy,korean,179,90.0,71.7,2013,6,1
14,comedy,hindi,164,94.6,33.9,2014,4,1
15,drama,english,75,38.9,20.9,2007,11,0
16,thriller,hindi,119,40.4,40.2,2009,8,0
17,drama,hindi,173,93.7,81.9,2022,5,1
18,drama,hindi,146,92.2,50.6,2024,1,1
19,drama,english,143,88.9,86.5,2012,8,1
20,action,hindi,112,52.7,53.6,2024,2,0
21,action,hindi,153,96.8,69.5,2014,11,1
22,drama,korean,83,96.8,48.2,2008,1,1
23,comedy,hindi,176,99.1,29.9,2002,4,1
24,action,korean,142,69.0,45.2,2023,0,0
25,thriller,korean,150,73.7,37.1,2002,6,0
26,comedy,hindi,133,24.8,34.5,2007,8,0
27,drama,hindi,159,81.2,75.9,2008,11,1
28,thriller,hindi,154,90.9,60.6,2008,5,1
29,drama,hindi,156,81.4,30.8,2021,0,0
30,drama,english,122,97.8,84.1,2015,7,1
31,comedy,korean,141,53.9,34.6,2004,1,0
32,thriller,hindi,136,52.3,62.7,1998,11,0
33,drama,english,136,43.2,58.3,1998,4,1
34,action,english,178,87.0,82.0,2014,9,1
35,animation,english,157,31.6,56.4,2017,7,0
36,drama,hindi,146,20.0,24.6,2013,5,0
37,action,korean,175,89.9,72.6,2013,2,1
38,action,english,75,87.9,44.9,2004,11,1
39,animation,hindi,116,32.2,43.2,2011,11,0
40,animation,hindi,80,38.9,28.7,2018,7,0
41,animation,hindi,158,76.0,59.5,2000,1,1
42,drama,english,141,96.9,43.0,2023,7,1
43,action,english,119,50.5,59.1,1995,11,1
44,action,english,102,39.4,84.4,2000,4,0
45,drama,hindi,114,35.1,26.1,2010,2,0
46,comedy,english,96,56.1,45.1,2015,9,0
47,thriller,english,92,34.1,67.9,2009,2,0
48,comedy,english,75,92.1,73.4,2008,3,1
49,comedy,english,127,29.4,46.6,1998,3,0
50,comedy,korean,98,63.6,47.9,2023,8,1
51,comedy,hindi,142,99.7,60.1,2003,8,1
52,thriller,hindi,154,28.9,67.8,2018,4,0
53,thriller,english,125,68.8,20.3,1996,10,0
54,thriller,spanish,95,21.7,63.4,2000,11,0
55,drama,english,175,33.6,42.7,2008,8,0
56,drama,english,148,84.8,99.1,2017,4,1
57,action,english,116,37.1,49.7,1995,2,0
58,action,english,133,96.6,62.1,2019,10,0
59,comedy,spanish,162,27.9,90.4,1997,9,1
60,comedy,english,162,44.2,76.9,2014,3,0
61,thriller,hindi,156,46.1,59.8,1996,7,0
62,thriller,spanish,160,62.8,82.4,2013,4,1
63,action,english,102,78.6,63.7,2016,8,1
64,thriller,korean,111,56.0,23.4,1995,6,1
65,action,english,116,78.4,92.9,2014,5,1
66,comedy,korean,125,43.5,88.1,2006,6,1
