lead_time_days,num_nights,num_guests,room_type,avg_daily_rate,cancelled
21,4,1,deluxe,417.81,0
314,10,4,standard,249.72,1
315,1,3,standard,328.99,1
77,13,5,family,459.24,0
276,3,5,family,175.44,1
327,12,5,suite,308.47,1
54,7,5,standard,221.02,1
338,4,4,standard,453.64,1
327,3,3,standard,229.16,1
175,9,3,deluxe,424.45,0
125,12,4,standard,267.34,0
167,8,5,deluxe,338.41,1
139,1,5,family,156.38,1
98,13,5,deluxe,433.0,1
25,11,5,suite,52.37,0
284,1,2,standard,250.5,1
229,7,1,family,386.12,0
356,12,4,deluxe,420.06,1
229,4,3,standard,330.62,1
3,5,4,standard,170.48,0
169,9,5,deluxe,85.13,0
281,9,4,standard,74.5,1
111,1,2,deluxe,132.29,1
161,3,5,deluxe,483.1,1
181,4,1,suite,359.7,1
107,7,2,standard,105.0,0
204,1,4,standard,420.0,1
264,7,2,deluxe,464.73,1
239,4,5,deluxe,421.13,0
191,13,3,suite,241.12,0
22,6,3,deluxe,482.19,0
168,8,3,family,194.93,0
144,7,1,standard,292.78,1
147,9,1,standard,301.1,1
156,3,3,suite,209.2,1
217,2,4,standard,100.13,0
48,11,3,standard,76.76,0
161,4,1,standard,260.82,1
158,5,4,family,363.01,0
81,2,4,family,143.18,1
339,11,1,suite,340.1,0
329,4,4,standard,132.16,1
55,3,5,standard,220.79,1
221,11,3,standard,156.12,0
55,13,4,suite,237.2,0
271,7,2,standard,145.18,1
362,7,1,standard,151.92,1
292,13,5,standard,247.38,1
277,11,5,deluxe,350.11,1
105,5,5,suite,265.87,0
129,12,3,deluxe,135.55,0
231,1,2,standard,151.75,1
167,13,2,family,451.11,1
97,13,5,suite,386.71,0
315,5,4,deluxe,343.14,1
344,6,4,deluxe,305.16,1
116,1,1,family,401.51,0
144,4,2,deluxe,109.98,0
47,3,4,suite,455.11,0
333,7,3,suite,352.61,1
155,6,5,standard,485.58,1
315,6,1,standard,413.12,1
105,5,3,family,331.75,1
97,9,1,standard,366.46,0
165,12,1,standard,70.14,0
246,12,4,deluxe,363.5,1
333,1,1,suite,229.68,1
122,11,5,standard,184.34,0
81,9,1,standard,67.77,0
189,11,5,family,180.05,0
176,10,4,standard,90.38,1
325,9,1,deluxe,195.97,1
176,11,5,deluxe,155.2,0
284,5,5,standard,451.66,1
74,7,5,family,111.16,0
294,2,4,standard,224.66,1
3,6,5,standard,472.58,0
71,1,4,deluxe,442.86,0
331,2,1,standard,205.89,1
305,3,2,standard,286.97,1
222,8,5,standard,495.01,1
32,5,3,suite,223.63,0
217,3,1,suite,364.46,1
130,5,2,deluxe,477.89,0
357,6,3,deluxe,343.24,1
142,5,1,standard,277.02,1
266,2,4,suite,455.33,0
12,12,1,deluxe,204.34,0
260,5,3,standard,451.97,1
99,12,2,deluxe,305.69,0
300,10,3,family,283.69,1
126,12,2,standard,406.26,0
124,6,2,standard,476.96,0
111,3,4,family,399.81,0
273,5,2,family,319.08,1
95,9,4,deluxe,299.49,1
305,9,5,deluxe,312.08,1
292,9,4,standard,314.1,1
340,12,4,deluxe,318.43,1
158,6,4,standard,300.96,0
115,10,4,deluxe,98.45,0
353,9,5,standard,185.03,1
280,6,1,deluxe,343.09,1
240,1,1,standard,156.45,1
19,1,2,deluxe,86.27,0
354,8,3,family,408.01,1
183,9,3,deluxe,132.61,1
53,1,3,standard,406.12,1
186,4,2,deluxe,387.65,1
229,6,2,standard,128.4,1
63,7,1,suite,400.87,0
238,2,1,deluxe,409.74,1
339,9,4,standard,182.48,1
239,2,1,suite,360.33,1
43,1,2,standard,470.32,0
268,12,3,family,341.01,0
328,5,4,deluxe,158.85,1
96,11,2,deluxe,456.37,1
223,2,1,deluxe,87.13,1
359,12,1,family,97.12,1
21,12,3,standard,98.39,0
215,4,3,standard,83.8,1
334,10,3,suite,277.99,1
289,10,4,standard,326.64,1
240,9,1,standard,277.87,0
141,5,2,standard,228.25,0
359,10,2,deluxe,382.64,1
169,5,4,deluxe,254.1,0
49,2,4,deluxe,375.73,0
72,13,4,deluxe,121.55,0
56,2,3,standard,224.88,0
100,6,1,standard,234.97,0
200,8,3,family,113.34,0
319,4,4,deluxe,52.15,1
241,4,4,suite,55.21,0
293,9,1,standard,131.48,1
79,3,2,suite,305.22,0
358,13,2,standard,171.93,0
283,13,3,standard,390.94,1
92,4,2,standard,76.21,0
228,1,2,deluxe,347.23,1
204,5,2,suite,247.45,1
297,4,2,standard,264.73,0
332,11,5,standard,382.25,1
151,6,2,standard,291.12,1
346,6,1,standard,479.88,1
73,5,2,standard,405.33,0
72,2,2,suite,132.63,0
59,7,5,family,318.99,0
262,3,5,standard,191.6,0
4,6,5,deluxe,87.14,0
272,13,4,standard,489.53,1
96,5,2,deluxe,101.6,0
127,6,5,deluxe,52.46,0
25,7,2,deluxe,142.81,0
64,4,1,standard,53.78,0
207,7,5,deluxe,212.11,0
172,5,2,standard,356.61,1
34,7,1,family,70.57,0
160,10,5,family,95.46,1
273,1,5,deluxe,317.09,1
115,11,3,deluxe,259.01,0
285,12,5,standard,272.87,1
291,2,3,standard,157.52,1
344,5,5,standard,267.69,1
80,3,4,family,60.35,0
126,1,4,deluxe,417.51,1
135,2,4,suite,331.32,1
295,3,2,deluxe,260.72,1
120,8,3,suite,60.43,0
204,12,1,standard,103.52,0
210,13,1,family,380.05,0
182,7,2,suite,78.07,0
114,8,5,deluxe,190.43,0
21,8,2,standard,385.67,0
40,9,2,family,219.65,0
49,3,1,standard,497.66,0
63,13,2,deluxe,212.13,0
98,3,5,deluxe,273.31,1
361,1,5,deluxe,263.84,1
73,3,4,standard,353.43,0
15,1,2,deluxe,486.38,0
291,10,2,deluxe,85.9,1
26,13,4,deluxe,141.94,0
13,12,3,standard,120.52,0
347,5,1,standard,266.66,1
294,13,3,deluxe,107.46,1
206,8,5,standard,157.01,1
276,12,4,standard,165.94,0
86,9,4,standard,480.61,1
67,6,5,deluxe,88.53,0
328,1,4,family,483.63,1
356,2,5,standard,200.21,1
274,13,5,deluxe,361.28,1
124,10,1,suite,328.88,0
98,7,4,standard,212.56,1
35,3,1,deluxe,118.38,0
178,11,1,standard,195.56,0
330,1,5,standard,364.83,1
249,5,1,family,308.2,1
101,5,4,standard,233.74,1
343,6,1,deluxe,287.34,1
138,5,5,deluxe,62.27,0
261,8,5,deluxe,458.4,1
235,12,1,standard,166.27,0
80,13,1,standard,217.69,1
43,6,5,deluxe,263.78,0
