cement_kg,water_kg,age_days,mix_type,aggregate_kg,compressive_strength
367.5,238.4,166,highperf,801.6,60.15
288.3,224.0,159,highperf,756.6,54.87
204.8,138.9,106,standard,1004.7,44.91
248.8,167.2,303,standard,900.2,46.6
190.1,236.2,308,standard,845.1,42.55
265.9,134.5,359,lightweight,1114.3,49.33
467.4,198.8,181,lightweight,1063.3,55.33
379.4,150.0,328,standard,891.9,53.07
198.8,161.7,18,standard,943.3,31.45
353.8,235.4,326,standard,727.3,52.76
137.5,196.7,69,lightweight,955.8,32.76
111.1,136.0,42,lightweight,1054.6,25.52
221.0,151.9,48,standard,854.8,38.45
296.8,100.7,151,standard,1102.4,58.17
252.4,153.1,36,standard,842.3,44.92
160.3,109.0,82,lightweight,1032.3,34.44
238.3,156.6,263,standard,1068.7,40.49
445.6,130.0,327,standard,739.6,63.13
268.9,199.7,204,lightweight,1192.6,40.15
188.4,160.6,227,lightweight,976.3,38.31
172.5,233.7,87,standard,771.7,37.02
456.9,215.9,203,lightweight,1028.7,56.45
143.8,200.2,355,standard,926.3,37.97
460.0,163.9,173,lightweight,1128.1,60.51
164.8,179.7,169,lightweight,749.9,31.33
252.2,102.2,99,standard,711.8,42.46
151.4,105.3,35,highperf,907.4,43.62
407.8,100.4,78,highperf,1025.7,72.14
405.7,151.2,363,standard,1060.4,64.62
131.5,123.8,311,standard,814.2,42.01
115.9,134.2,197,standard,1182.6,41.69
228.6,163.5,345,lightweight,838.9,39.82
308.6,232.0,237,highperf,734.8,50.54
490.7,127.1,237,highperf,769.9,74.35
236.4,145.4,89,highperf,959.3,56.24
358.2,176.1,74,highperf,1066.1,59.74
421.4,207.3,250,standard,1057.2,61.29
232.2,115.8,55,highperf,980.2,51.82
449.0,212.9,132,lightweight,957.1,54.85
258.4,139.3,3,standard,1120.0,39.37
172.7,135.2,276,standard,1068.7,41.01
105.9,139.5,155,standard,824.4,35.48
162.2,233.5,263,highperf,919.3,42.51
364.1,208.8,280,highperf,897.9,66.97
291.9,179.6,221,standard,1071.7,45.66
164.8,179.0,304,standard,1189.4,42.82
224.1,135.1,340,standard,996.1,45.03
316.2,158.3,305,highperf,1029.1,58.67
466.3,207.0,62,highperf,917.6,61.87
439.8,163.0,227,standard,1041.3,64.63
179.3,189.6,187,highperf,1104.9,48.63
230.6,207.7,303,highperf,888.0,48.04
159.6,126.4,12,standard,798.5,27.57
441.7,110.4,253,lightweight,1090.1,66.99
278.2,203.6,150,lightweight,796.9,36.92
172.4,105.0,56,highperf,832.1,46.82
436.7,174.2,305,highperf,1084.3,77.32
279.7,171.1,179,highperf,911.3,53.48
413.1,163.8,211,highperf,741.6,66.53
406.7,161.4,294,highperf,927.4,68.99
292.3,250.0,141,standard,1164.7,46.17
366.8,220.7,194,highperf,804.3,60.25
451.3,134.4,110,standard,811.3,58.18
169.4,164.0,155,lightweight,744.7,33.17
231.0,142.4,7,standard,1020.9,43.88
232.7,235.3,45,standard,1038.3,39.52
304.1,236.5,344,lightweight,936.0,45.54
296.2,134.1,272,standard,1098.5,51.23
478.9,161.4,89,standard,1135.6,63.41
451.0,249.1,88,lightweight,1138.4,57.37
210.8,209.0,207,standard,843.1,40.1
470.7,128.3,202,lightweight,762.2,53.51
211.8,119.3,155,highperf,864.7,55.3
177.6,147.8,234,standard,748.5,37.55
339.7,194.5,33,standard,1136.4,49.92
247.7,169.1,280,highperf,849.4,53.59
341.4,161.3,228,standard,1104.5,57.93
373.8,184.9,333,standard,1080.2,61.99
252.5,147.0,308,highperf,882.1,57.55
370.1,102.0,121,lightweight,809.1,50.3
341.7,236.3,51,standard,1061.8,49.22
121.7,148.0,337,standard,702.3,39.72
203.1,218.0,63,standard,1193.8,40.43
339.7,137.9,60,standard,1028.9,53.03
294.1,236.2,294,standard,982.2,50.31
484.3,132.4,308,standard,730.4,66.65
382.6,126.9,259,standard,828.1,57.05
432.7,112.2,187,highperf,806.9,70.68
409.9,150.7,204,highperf,926.3,63.73
205.6,189.9,196,lightweight,853.8,37.33
446.4,135.8,55,standard,764.7,60.24
385.6,247.9,148,standard,998.4,51.61
106.6,139.7,230,standard,803.2,34.47
245.4,124.0,47,lightweight,1128.5,44.49
473.7,150.7,189,standard,762.0,65.57
330.4,218.7,77,lightweight,1069.8,44.77
243.2,183.3,152,standard,918.1,49.33
454.0,179.7,188,standard,1184.4,61.93
292.5,227.9,327,standard,791.0,47.3
430.4,228.6,323,highperf,1071.6,67.72
328.3,103.3,254,highperf,840.5,63.19
322.9,189.9,105,standard,1153.6,51.74
447.7,100.3,58,standard,995.3,64.97
297.0,214.2,188,lightweight,976.2,44.18
368.7,125.4,220,standard,1114.0,63.35
171.3,116.4,17,highperf,966.2,44.81
163.7,157.7,246,standard,874.2,43.86
314.3,200.8,166,highperf,1036.6,64.36
497.0,217.5,3,highperf,944.6,53.63
351.1,194.7,128,lightweight,1038.1,51.35
328.3,177.2,321,standard,848.3,52.09
339.6,204.6,181,highperf,817.7,60.8
300.8,211.2,294,lightweight,1055.4,41.64
231.3,132.9,160,standard,1139.9,50.98
347.0,161.6,95,lightweight,930.9,44.56
175.0,222.9,182,standard,1158.9,34.89
327.5,110.4,92,standard,800.6,53.66
205.4,211.6,15,standard,1164.3,34.87
234.0,245.8,135,highperf,933.7,46.73
338.9,230.5,348,standard,1121.2,49.27
