athlete_id,sport,age,training_hours_per_week,resting_heart_rate,vo2_max,performance_score
1,sprint,34,12.0,87,36.1,47.5
2,swimming,18,27.0,78,27.8,50.5
3,weightlifting,33,28.2,70,37.2,40.1
4,swimming,35,29.8,81,33.1,52.1
5,swimming,29,9.1,82,54.7,66.5
6,sprint,21,5.6,64,40.9,62.8
7,cycling,17,18.0,75,40.3,48.1
8,weightlifting,26,20.7,53,32.6,39.6
9,cycling,16,14.1,84,48.9,50.4
10,swimming,18,18.8,89,41.3,55.5
11,sprint,33,17.5,49,32.8,45.7
12,swimming,34,12.5,84,35.9,59.5
13,swimming,17,7.2,74,46.0,37.3
14,sprint,30,11.5,66,46.6,54.2
15,sprint,33,18.2,65,48.3,43.2
16,cycling,34,16.5,72,36.8,47.3
17,weightlifting,30,16.4,78,42.0,48.0
18,sprint,33,6.5,85,45.0,55.7
19,swimming,30,22.5,66,42.4,60.5
20,weightlifting,35,27.9,64,56.0,38.2
21,weightlifting,32,9.0,49,43.9,24.0
22,sprint,30,23.1,83,44.0,75.6
23,sprint,33,8.2,86,40.8,59.6
24,weightlifting,23,19.0,52,36.8,51.0
25,weightlifting,23,9.3,65,35.3,53.7
26,sprint,27,25.8,84,35.3,64.6
27,cycling,36,11.7,73,34.5,40.9
28,swimming,35,13.5,83,37.1,63.6
29,sprint,34,7.3,81,40.8,64.1
30,weightlifting,29,26.3,51,40.7,61.0
31,cycling,20,29.4,49,34.6,48.1
32,weightlifting,17,6.0,51,43.5,39.4
33,sprint,26,24.7,69,44.6,60.3
34,sprint,34,7.5,68,38.7,73.5
35,cycling,23,25.5,61,38.0,56.9
36,cycling,25,12.8,85,45.1,45.5
37,weightlifting,27,25.4,48,44.0,37.3
38,cycling,18,10.5,83,49.4,39.8
39,sprint,30,29.4,71,46.7,45.9
40,cycling,36,19.4,64,47.1,51.9
41,cycling,22,5.5,82,35.6,49.6
42,cycling,17,29.1,70,53.2,66.2
43,weightlifting,31,16.9,55,40.9,41.6
44,weightlifting,30,12.6,62,35.6,23.8
45,weightlifting,21,6.5,73,39.3,42.3
46,weightlifting,24,8.5,51,46.8,40.6
47,weightlifting,20,9.5,68,43.1,44.3
48,weightlifting,29,29.3,74,40.7,33.5
49,weightlifting,28,5.8,89,34.6,37.5
50,weightlifting,36,14.1,64,46.4,47.1
51,swimming,20,11.3,46,45.2,34.7
52,cycling,23,26.8,79,50.0,43.9
53,cycling,37,21.2,86,43.2,59.5
54,sprint,25,29.6,48,43.6,47.7
55,sprint,20,28.4,84,33.9,58.7
56,cycling,18,7.8,87,40.6,61.4
57,weightlifting,19,26.3,57,37.8,46.9
58,swimming,37,14.0,58,30.8,47.9
59,weightlifting,29,12.6,77,35.1,40.4
60,swimming,36,26.9,64,37.2,61.3
61,sprint,16,28.4,67,37.7,66.6
62,sprint,33,16.9,78,34.6,54.8
63,sprint,19,8.0,84,44.9,54.5
64,cycling,29,29.8,49,33.3,41.9
65,weightlifting,32,10.3,60,28.3,58.6
66,swimming,30,19.3,58,40.7,48.8
67,cycling,36,11.7,64,34.7,46.4
68,weightlifting,36,10.1,53,33.5,38.5
69,cycling,19,21.1,47,35.1,56.6
70,cycling,24,20.4,47,41.9,47.8
71,swimming,35,5.7,71,45.2,55.8
72,sprint,29,14.6,52,48.2,72.7
73,cycling,28,16.3,61,41.3,54.6
