budget_million,runtime_min,genre,critic_score,lead_actor_popularity,is_hit
233.1,153,scifi,75.2,57.0,1
89.3,95,scifi,77.4,62.1,1
22.1,159,horror,5.1,48.4,0
1.7,87,drama,38.1,72.2,0
11.7,100,action,42.3,61.0,0
68.7,106,action,85.2,6.6,0
251.4,114,scifi,67.8,76.2,1
190.1,135,scifi,5.4,87.0,0
41.0,116,horror,85.9,84.2,1
151.1,96,horror,72.5,0.0,0
111.3,80,action,16.3,0.9,0
79.3,104,horror,97.1,14.6,0
297.8,179,comedy,16.7,85.0,1
187.4,129,action,25.5,18.9,1
90.0,121,comedy,48.7,78.6,0
122.8,131,comedy,53.6,93.7,0
180.8,103,comedy,41.6,46.9,1
52.4,89,drama,17.9,72.1,0
136.0,76,horror,66.6,11.9,0
106.7,145,drama,27.3,22.8,0
155.5,128,comedy,25.4,0.2,0
12.8,100,drama,48.9,46.2,0
185.2,115,comedy,89.3,52.1,1
59.0,79,action,95.4,97.8,1
111.4,140,drama,81.0,87.9,1
147.9,128,drama,21.2,76.1,1
119.4,109,scifi,76.1,11.2,0
59.8,121,action,83.8,94.8,1
13.4,78,comedy,92.9,36.2,0
84.0,152,horror,81.2,77.3,1
179.4,79,comedy,54.5,37.5,1
135.1,107,action,44.1,38.2,0
79.2,152,horror,37.3,81.2,1
87.9,101,drama,73.1,44.1,1
135.3,160,drama,4.1,21.1,1
158.0,153,drama,30.3,76.0,0
156.2,109,scifi,26.0,54.8,0
14.9,165,action,28.7,66.8,0
102.4,121,horror,3.7,56.8,0
47.4,155,horror,48.5,26.4,0
31.9,103,action,40.6,32.9,0
45.1,134,horror,60.5,60.0,0
204.3,149,horror,73.5,34.3,1
93.6,77,action,0.8,24.1,0
256.9,129,action,4.3,40.7,0
134.4,106,drama,20.9,91.6,1
186.6,85,comedy,86.6,82.1,1
260.2,154,drama,29.2,54.3,0
62.7,108,comedy,36.0,55.7,0
95.5,176,comedy,59.6,84.6,1
103.8,156,scifi,25.5,51.5,1
4.4,120,horror,64.9,37.2,0
61.8,174,action,10.8,95.2,0
69.8,105,scifi,65.3,35.3,1
180.3,147,scifi,11.0,39.3,0
201.3,148,drama,37.1,74.0,0
40.7,75,comedy,3.9,42.9,0
43.2,102,drama,47.8,56.3,0
132.9,124,action,86.0,37.1,0
121.2,122,action,71.7,6.1,0
112.1,126,horror,90.0,0.2,0
154.1,143,scifi,40.5,7.9,0
257.5,126,action,25.1,22.5,1
288.1,115,scifi,70.0,74.6,1
176.3,132,comedy,70.9,52.2,1
266.5,96,horror,18.6,92.1,1
216.8,114,action,9.5,72.9,0
205.3,140,action,59.8,6.6,0
240.3,151,horror,71.7,40.4,0
164.1,145,scifi,66.2,62.1,1
99.5,115,scifi,89.3,31.7,1
125.2,84,comedy,38.4,16.1,0
262.6,129,scifi,98.9,8.5,1
285.4,123,scifi,21.9,77.0,1
222.8,131,scifi,79.2,62.3,1
212.4,90,horror,51.5,8.1,1
272.8,100,comedy,54.4,13.6,1
182.6,124,drama,14.8,36.9,0
12.3,136,comedy,28.4,10.3,0
150.7,97,scifi,14.7,44.2,1
70.1,146,horror,68.8,86.3,1
102.3,143,action,41.7,24.5,1
48.1,110,action,75.6,0.2,0
127.8,168,action,92.2,79.8,1
271.1,139,drama,21.6,81.7,1
94.5,124,drama,86.8,70.1,1
245.6,115,action,41.2,3.7,1
23.4,125,action,24.4,0.8,0
183.4,88,comedy,8.4,19.2,1
145.5,140,comedy,5.1,48.6,1
195.2,137,action,80.3,82.5,0
88.8,165,scifi,33.1,76.3,0
278.2,81,action,8.7,32.2,1
183.8,138,comedy,28.4,4.8,0
243.1,104,comedy,52.6,81.2,1
132.8,77,comedy,36.1,18.8,0
10.4,161,action,21.3,74.7,1
101.7,90,action,45.1,64.7,0
206.0,80,comedy,61.5,11.1,0
212.2,179,drama,71.0,11.4,1
78.0,147,horror,71.3,4.6,0
67.2,169,drama,8.5,20.0,0
280.8,88,action,20.5,69.7,1
191.5,76,comedy,28.0,49.8,0
96.7,126,comedy,26.7,59.8,0
161.2,160,scifi,35.5,55.0,1
213.7,126,action,88.7,80.1,1
248.1,174,horror,38.7,89.3,1
56.2,167,action,48.6,68.2,0
59.3,129,scifi,51.9,36.6,0
206.1,126,horror,7.8,81.1,1
128.6,79,action,79.7,16.9,0
34.6,122,action,62.4,53.6,1
40.1,137,comedy,9.4,46.9,0
255.9,119,horror,41.3,86.6,1
76.8,124,comedy,65.5,44.6,1
262.7,120,drama,51.8,23.6,0
60.1,152,horror,80.9,0.1,0
92.3,122,drama,92.0,80.2,0
125.2,154,action,66.5,77.3,0
113.8,152,action,41.9,48.7,0
79.5,83,horror,59.0,80.3,0
81.5,168,scifi,65.8,94.4,1
127.2,126,scifi,25.1,91.1,1
36.3,177,drama,8.4,15.6,0
158.0,101,horror,73.9,55.5,1
119.5,117,comedy,9.1,29.3,0
72.7,114,action,81.4,53.8,1
228.8,125,action,63.3,13.0,1
67.6,120,comedy,82.0,97.8,1
174.9,96,drama,42.0,43.1,0
83.0,166,drama,80.2,79.1,0
93.9,167,scifi,19.4,66.4,0
219.1,122,drama,81.7,88.3,1
57.0,129,scifi,87.3,75.2,0
203.0,179,drama,16.7,76.4,0
127.3,100,drama,60.5,22.6,0
164.1,110,comedy,96.6,51.7,1
86.5,92,action,5.5,56.5,0
124.5,159,horror,42.9,64.2,0
297.2,163,horror,7.3,57.2,1
283.8,154,action,94.2,5.6,0
18.3,142,action,52.2,53.9,0
188.9,151,action,87.8,82.3,1
228.6,144,scifi,50.5,42.0,1
100.6,172,action,44.6,56.1,0
294.7,141,horror,61.0,7.9,1
64.0,105,action,94.2,92.2,1
173.3,153,action,6.9,82.0,1
41.4,87,action,2.7,34.1,0
31.2,168,drama,39.2,12.8,0
277.2,87,action,3.5,32.7,1
263.5,163,action,56.3,82.8,1
121.9,148,comedy,67.2,98.1,0
298.7,150,drama,98.5,98.6,1
76.5,154,comedy,56.6,75.7,1
238.1,154,comedy,12.6,75.8,0
71.0,143,action,41.5,67.7,0
202.5,113,comedy,56.6,50.4,1
219.1,87,horror,46.1,97.3,1
255.7,114,action,7.3,25.8,1
239.8,154,action,85.6,92.1,1
174.6,143,action,61.6,1.5,1
75.7,122,comedy,92.3,82.2,1
11.3,147,comedy,2.9,18.2,0
289.0,139,scifi,56.8,4.5,1
189.7,120,comedy,95.6,45.9,1
226.9,133,comedy,50.7,13.4,0
120.1,169,action,82.9,17.1,0
242.1,176,drama,82.0,54.3,1
110.6,87,comedy,52.6,76.2,0
165.5,151,comedy,72.9,66.2,1
228.0,146,comedy,44.3,12.6,1
184.8,81,comedy,52.2,32.7,1
5.7,115,horror,1.9,34.7,0
5.4,143,comedy,21.8,47.9,0
51.2,95,comedy,65.7,0.6,0
30.4,157,action,85.8,9.8,0
118.4,164,drama,81.7,4.7,0
186.4,134,horror,65.5,68.2,1
202.0,179,comedy,52.8,72.5,1
