budget_million,runtime_min,genre,num_screens,marketing_spend_million,box_office_revenue_million
220.8,97,action,2384,58.3,554.99
15.7,77,comedy,2883,67.5,190.74
133.5,159,scifi,3132,81.8,439.05
298.6,91,comedy,800,4.9,548.97
157.0,137,scifi,3589,91.6,507.09
293.9,157,action,3383,50.2,686.98
236.7,112,comedy,898,91.1,562.29
227.7,155,scifi,1067,85.3,586.62
163.9,171,action,1044,97.6,454.99
205.1,174,comedy,2414,16.7,450.36
99.2,98,comedy,4439,57.0,363.73
94.1,106,action,3530,64.1,374.64
108.4,167,horror,1211,73.3,290.24
238.6,91,drama,2965,11.3,507.23
35.0,88,scifi,832,19.0,162.9
162.6,117,drama,3645,24.3,354.56
209.1,119,action,2259,93.0,523.45
288.7,92,comedy,2719,40.2,659.39
9.7,106,horror,1419,71.4,120.41
165.8,134,action,3441,12.8,438.66
218.8,96,action,2009,73.3,564.43
252.8,167,drama,802,28.7,504.02
26.5,107,comedy,2748,81.0,252.08
188.2,178,comedy,2111,58.0,450.76
252.3,168,action,676,76.8,559.93
9.8,136,comedy,3191,4.6,111.54
294.4,153,action,2226,67.2,726.7
71.3,125,drama,2369,97.3,299.97
178.4,155,action,3044,92.3,556.72
56.1,107,drama,3632,35.3,170.48
68.3,113,drama,1854,58.4,207.93
154.9,142,drama,4059,27.2,367.12
212.0,135,drama,1839,14.7,448.47
158.7,142,comedy,1912,97.0,459.88
217.3,108,scifi,2557,78.6,572.49
297.0,88,scifi,2011,28.0,664.13
12.0,125,horror,4197,8.0,117.05
54.9,120,drama,4279,43.6,256.79
174.2,84,horror,1198,26.1,355.98
36.3,171,scifi,1851,30.0,168.37
172.3,88,drama,1797,78.8,440.76
142.8,132,action,1454,99.2,447.64
177.5,139,scifi,755,59.4,460.98
160.9,124,comedy,3981,37.0,418.74
278.7,118,scifi,852,23.9,587.68
159.3,149,comedy,968,49.9,380.4
168.5,158,action,4069,57.7,514.68
160.3,133,action,1647,57.4,429.34
67.0,125,action,4296,53.7,301.38
120.2,106,action,1535,18.3,353.3
289.1,81,action,1527,51.4,633.49
59.7,140,comedy,2405,29.7,219.07
228.1,130,comedy,4367,57.6,594.91
278.6,127,comedy,1839,82.4,642.84
14.4,129,action,3635,66.7,194.13
263.2,81,action,4180,2.5,587.96
33.1,155,scifi,1359,4.2,135.28
204.1,146,drama,608,14.9,394.2
286.8,88,horror,3241,13.4,569.63
216.7,110,scifi,4336,63.3,596.76
215.5,85,comedy,506,46.4,492.87
180.5,139,action,2002,23.1,426.45
9.5,96,comedy,3183,30.5,151.26
101.0,92,horror,3005,26.9,267.31
292.8,77,scifi,2542,46.6,653.47
145.2,138,comedy,3270,19.6,381.29
104.3,173,action,2688,17.0,333.45
197.2,114,drama,3201,76.5,493.86
273.6,171,scifi,1949,76.3,675.32
98.1,81,drama,693,78.1,263.67
19.3,177,comedy,3217,43.6,146.06
142.5,153,comedy,3864,11.2,387.27
151.8,143,action,3914,84.8,477.94
19.0,176,comedy,1691,33.0,136.27
122.3,83,comedy,2099,85.6,365.15
14.7,118,action,3059,1.5,130.98
138.8,83,horror,1668,91.3,380.76
154.9,143,horror,4138,34.3,365.85
67.9,166,action,618,10.0,180.91
113.7,98,action,1416,7.0,247.77
234.2,133,comedy,3532,39.8,558.3
58.3,160,drama,2293,29.2,177.44
223.3,146,action,2528,7.1,500.68
282.7,135,comedy,4396,71.3,661.53
66.6,158,scifi,2870,17.2,229.17
68.7,138,drama,2631,69.7,284.67
54.6,102,scifi,976,34.5,230.29
254.5,152,drama,3025,55.5,587.74
179.3,140,drama,579,99.1,397.91
177.5,86,scifi,4121,35.7,491.14
187.4,76,scifi,3823,79.5,533.01
79.8,172,comedy,2569,52.7,257.11
225.4,81,action,1964,97.7,562.92
232.5,172,scifi,2795,39.1,545.19
198.7,127,comedy,575,55.5,429.18
65.9,96,drama,2603,70.5,232.64
32.1,144,comedy,3897,72.2,254.23
42.4,87,comedy,3535,68.9,270.62
9.7,128,comedy,3475,11.7,117.37
213.1,119,comedy,2542,71.5,516.61
122.7,82,scifi,1679,75.9,386.9
234.8,150,drama,730,5.1,438.23
90.7,77,action,701,46.0,263.34
98.1,78,comedy,1102,62.9,268.11
251.0,159,action,3956,3.0,593.64
268.0,134,scifi,1170,80.6,618.66
170.6,75,horror,3999,3.4,371.18
40.1,109,comedy,3072,97.4,230.2
244.8,104,comedy,2790,33.9,541.47
26.2,131,horror,1076,80.0,142.43
123.8,169,scifi,2171,76.1,406.68
199.1,123,drama,2430,97.2,549.45
17.5,118,comedy,2382,71.6,175.28
114.9,148,comedy,3130,27.6,316.67
200.4,123,action,3062,23.9,491.03
217.9,111,horror,2245,15.8,390.33
126.2,102,comedy,3528,54.9,357.94
201.1,88,drama,1714,78.7,495.74
33.2,101,drama,1053,82.5,161.95
118.7,75,comedy,1070,62.4,329.98
52.3,151,drama,1808,24.5,192.36
45.8,177,comedy,1792,44.0,189.63
136.8,110,scifi,665,77.1,367.43
8.6,92,scifi,3030,51.7,174.83
78.4,165,horror,4120,3.7,207.63
149.0,126,horror,1821,36.8,313.49
6.1,78,scifi,3119,43.8,196.47
181.1,139,comedy,3087,90.1,510.64
31.9,135,action,824,68.3,208.06
125.9,111,horror,1686,24.7,306.48
226.0,173,comedy,1745,28.4,487.46
39.6,152,action,2065,20.5,171.52
168.9,148,horror,2512,73.1,433.6
229.4,79,comedy,1391,93.9,572.77
5.0,142,comedy,2296,31.2,109.74
30.1,98,comedy,2483,6.9,133.33
195.9,113,scifi,2353,27.4,478.39
251.8,141,drama,2624,71.9,609.97
209.1,147,action,1108,93.2,531.7
45.9,142,comedy,3509,12.8,196.87
223.8,133,drama,4315,86.2,575.76
216.1,87,action,971,39.5,480.96
181.1,120,action,2071,26.1,447.77
190.3,177,drama,2285,63.7,497.21
105.8,89,horror,1520,28.7,244.04
241.0,79,horror,3903,75.0,558.44
163.0,123,comedy,1101,9.1,313.26
12.9,131,action,2538,56.3,174.34
95.3,151,comedy,1836,51.0,300.44
222.4,87,comedy,1299,4.7,413.58
