customer_id,age,annual_income,spending_score,visit_frequency
1,24,53698.91,40,5
2,24,59056.22,96,4
3,55,74520.56,33,8
4,41,65401.55,16,11
5,45,43415.91,55,5
6,46,41972.02,17,9
7,51,91190.76,5,8
8,19,68619.48,23,11
9,40,87965.92,38,6
10,24,93330.0,36,7
11,36,40274.49,2,11
12,61,61934.85,12,12
13,43,63247.01,12,5
14,21,65073.02,15,11
15,43,64754.24,76,3
16,24,58636.98,2,7
17,53,58134.33,33,3
18,62,27955.0,93,7
19,64,52022.78,37,7
20,47,41542.85,36,13
21,58,57269.57,74,7
22,35,46584.17,62,4
23,24,66133.37,25,6
24,42,69743.36,45,8
25,38,60556.46,49,7
26,49,60691.03,74,8
27,64,56673.04,42,4
28,30,46939.64,80,9
29,58,52038.98,43,5
30,24,46078.37,38,9
31,34,61983.77,33,14
32,55,55254.04,53,8
33,29,65463.24,48,10
34,49,31084.33,10,4
35,39,70980.02,41,10
36,42,41271.47,29,6
37,62,41782.92,50,8
38,56,51446.03,23,7
39,57,44859.08,87,8
40,43,60240.25,31,13
41,64,44665.03,51,11
42,64,35749.4,33,6
43,24,39775.55,57,10
44,27,78615.7,57,5
45,32,55796.65,38,6
46,44,33984.45,33,11
47,56,55150.79,69,10
48,40,26992.96,33,5
49,64,87212.2,46,6
50,34,27559.39,83,11
51,61,63617.55,3,9
52,45,64785.26,2,6
53,51,28899.86,47,4
54,29,60404.98,1,5
55,45,72949.1,56,5
56,55,63416.36,6,9
57,59,59698.29,21,10
58,58,72083.74,86,6
59,63,57896.28,52,11
60,24,61055.66,63,5
61,54,52719.19,21,12
62,39,66372.5,73,7
63,50,38055.09,17,13
64,31,69251.74,95,5
65,18,45904.57,8,10
66,21,35368.24,22,8
67,63,61574.48,91,6
68,60,85473.2,92,9
69,32,72310.21,21,6
70,38,45718.3,25,11
71,29,67565.07,97,14
72,24,46824.24,52,12
73,58,52767.65,69,9
74,49,56611.51,68,6
75,21,15000.0,59,7
76,27,58449.07,79,9
77,44,36467.03,17,6
78,60,42446.82,25,8
79,64,28460.97,16,8
80,28,27701.95,48,6
81,46,38021.24,3,7
82,19,69860.75,5,6
83,26,84988.74,30,12
84,27,54546.31,29,7
85,38,74652.24,82,13
86,34,50248.35,98,10
87,52,20584.49,31,8
88,40,57698.5,90,10
89,33,63021.67,84,3
90,60,47284.9,58,8
91,47,60440.04,52,4
92,50,65306.01,78,7
93,53,39458.66,11,4
94,33,28416.99,90,8
95,59,51017.43,19,8
96,18,51200.91,33,11
97,32,48652.06,85,7
98,25,72770.44,98,6
99,18,86060.6,11,10
100,64,47500.35,45,10
101,22,67579.96,91,8
102,39,71936.76,16,9
103,56,67836.82,49,15
104,50,73854.75,53,3
105,58,47993.61,2,9
106,20,68316.51,59,6
107,41,91440.67,44,14
108,19,69465.98,69,8
109,26,43841.91,83,8
110,57,65938.82,67,9
111,21,77722.85,93,5
112,45,61641.75,5,8
113,18,44858.79,83,10
114,32,82775.45,64,8
115,61,32504.19,95,9
116,32,64061.65,92,5
117,32,54708.84,60,17
118,22,33514.02,67,5
119,54,76950.09,57,5
120,26,61261.98,97,6
121,41,33997.63,18,8
122,19,65831.11,51,10
123,19,47231.19,85,5
124,57,20749.81,81,14
125,18,42599.71,40,8
126,39,59743.93,14,4
127,38,66442.65,33,8
128,23,57980.17,89,4
129,48,55812.97,30,8
130,52,63459.82,44,9
131,64,51202.43,17,14
132,27,76185.18,87,7
133,61,57675.55,48,8
134,20,60290.59,32,6
135,24,64734.38,9,7
136,46,35970.96,62,9
137,58,42233.92,45,11
138,60,82514.42,84,8
139,52,61035.56,95,7
140,19,49912.91,71,6
141,37,61146.7,13,7
142,55,46330.8,62,8
143,42,60014.19,87,8
144,26,43014.32,97,6
145,50,59968.34,32,9
146,22,26601.35,9,5
147,50,78956.56,21,13
148,18,45766.76,11,6
149,34,26537.66,62,8
150,31,50970.85,55,8
151,62,48322.07,46,4
152,52,57743.17,95,9
153,48,34385.49,18,7
154,41,62154.38,68,6
155,31,120224.22,96,7
156,58,31983.98,31,9
157,62,61078.88,54,8
158,28,49407.06,11,4
159,29,58466.95,36,4
160,32,22387.44,45,3
161,40,34281.83,73,9
162,30,63273.87,48,5
163,36,54308.48,79,6
164,63,84434.29,47,9
165,35,42313.65,20,7
166,62,58140.99,62,7
167,41,107436.19,16,8
168,34,41219.89,28,4
169,61,38731.0,88,7
170,38,54367.66,88,8
171,54,54197.87,81,9
172,32,70195.01,29,9
173,64,57332.37,68,12
174,53,41378.69,11,12
175,59,58805.59,76,7
176,19,102494.74,35,7
177,23,77891.93,17,13
178,21,15000.0,93,11
179,42,52443.7,49,10
180,36,39248.37,16,8
181,64,66200.73,67,14
182,29,51881.26,28,10
183,25,89788.52,68,11
184,57,71762.24,92,14
185,32,71027.25,35,7
186,52,58358.28,35,11
187,31,54274.64,19,5
188,43,61123.24,84,12
189,21,78315.04,36,6
190,49,64619.02,5,9
191,61,48679.61,43,5
192,50,77951.52,88,9
193,59,58457.99,12,7
194,54,53602.93,24,5
195,44,40755.22,94,9
196,61,44812.14,18,12
197,40,43551.16,11,9
198,25,15000.0,74,14
199,44,73303.23,8,7
200,47,65196.6,98,6
201,26,51143.13,85,4
202,24,73827.71,95,6
203,49,62883.78,70,12
204,38,61688.21,75,10
205,40,15000.0,13,5
206,54,50805.71,91,7
207,50,64579.4,92,10
208,60,83974.36,98,5
209,25,88125.31,62,4
210,53,80665.09,55,5
211,43,34091.03,19,8
212,19,15441.92,15,4
213,21,65268.45,62,6
214,34,55497.09,85,6
215,48,72325.96,71,10
216,25,52734.08,40,6
217,43,58955.59,63,6
218,64,28000.2,31,6
219,24,63064.17,3,10
220,24,46991.83,50,10
221,63,61299.74,93,8
222,29,63269.31,4,10
223,59,52890.0,27,5
224,34,60702.42,2,8
225,53,54755.07,39,5
226,20,68665.59,27,13
227,47,64031.37,17,4
228,58,45150.11,59,7
229,33,44417.77,85,7
230,47,86387.3,75,13
231,28,53171.28,88,7
232,25,72852.54,95,9
233,18,62080.94,81,8
234,41,44845.98,81,4
235,42,41518.47,7,6
236,21,57162.26,94,5
237,28,59619.78,8,8
238,46,66058.55,63,10
239,35,32195.2,98,14
240,28,44295.7,73,8
241,18,53292.41,73,7
242,19,83813.49,59,4
243,47,15000.0,29,7
244,23,62904.01,9,12
245,57,45279.17,64,10
246,44,62764.79,7,7
247,29,46144.38,52,9
248,47,61561.92,76,13
249,25,83163.48,18,11
250,33,61375.54,21,3
251,41,62801.2,90,6
252,48,61711.44,79,8
253,24,41494.36,72,8
254,34,64774.32,46,3
255,22,51249.76,94,9
256,24,40389.15,1,11
257,28,54306.14,25,9
258,32,50908.81,56,13
259,60,68562.64,5,7
260,36,54228.89,44,7
261,23,45470.04,52,11
262,60,81207.49,8,9
263,44,72790.98,18,6
264,23,77855.13,26,8
265,21,65938.01,95,8
266,22,53025.42,31,8
267,60,47456.32,65,8
268,44,49971.88,35,6
269,49,72058.43,29,9
270,63,57014.26,70,6
271,36,28308.82,82,10
272,60,54296.51,17,4
273,36,29510.12,17,7
274,50,57985.59,44,7
275,56,33331.25,48,4
276,21,32249.15,61,10
277,52,57134.43,67,12
278,55,53592.14,94,15
279,63,25088.29,89,6
280,50,68468.03,12,7
281,40,93935.74,21,10
282,24,28335.24,8,8
283,54,87757.29,94,7
284,39,42619.79,19,9
285,55,46106.37,64,6
286,20,51780.03,22,4
287,34,28985.01,21,7
288,55,78384.29,17,5
289,46,63868.49,95,8
290,51,41473.82,8,8
291,45,50012.61,87,4
292,55,27705.53,21,5
293,57,48740.36,3,13
294,53,71851.84,23,6
295,49,24124.78,36,6
296,30,47147.67,48,8
297,21,57642.25,59,4
298,55,73868.31,65,8
299,34,79287.95,56,6
300,29,46769.45,37,7
