movie_id,genre,language,runtime_min,critic_score,audience_score,release_year,num_awards,recommend
1,sci-fi,french,96,40.6,60.8,2014,0,0
2,comedy,english,128,55.5,83.8,2010,0,1
3,horror,french,156,44.2,74.8,2022,1,0
4,comedy,korean,89,40.7,72.6,2009,0,1
5,horror,spanish,153,38.7,41.7,2011,1,0
6,romance,hindi,99,67.4,74.6,2003,2,1
7,drama,english,86,53.8,74.3,2015,1,1
8,horror,spanish,117,55.5,67.9,2016,1,0
9,thriller,french,169,62.4,81.2,2001,1,1
10,thriller,spanish,117,70.4,62.2,2000,1,1
11,horror,hindi,116,33.7,65.5,2010,0,0
12,action,hindi,157,82.9,60.9,2000,2,1
13,comedy,hindi,94,80.9,95.0,2011,1,1
14,thriller,spanish,107,62.1,57.1,2022,1,1
15,sci-fi,french,135,61.0,83.8,2006,1,1
16,animation,french,159,59.3,100.0,2004,0,1
17,comedy,french,115,36.9,74.0,2022,2,0
18,comedy,korean,126,72.3,56.5,1996,1,0
19,sci-fi,hindi,129,51.7,62.8,2002,1,1
20,comedy,hindi,138,73.1,49.5,1997,1,0
21,sci-fi,hindi,104,83.3,83.2,1997,2,1
22,drama,hindi,129,68.0,54.6,2002,3,1
23,action,french,141,15.6,75.7,2022,0,0
24,horror,korean,130,70.4,60.0,2006,0,1
25,thriller,hindi,148,45.4,61.4,2012,0,0
26,action,spanish,140,65.5,62.5,2022,0,0
27,animation,english,157,58.4,56.3,2009,2,1
28,sci-fi,english,151,59.3,50.8,2007,1,1
29,horror,hindi,150,48.9,85.1,2020,2,1
30,sci-fi,korean,129,75.8,60.9,2015,1,1
31,horror,french,162,47.4,63.2,2022,1,1
32,animation,french,150,82.3,54.7,2023,1,1
33,sci-fi,hindi,103,62.2,75.5,2020,2,1
34,drama,spanish,87,53.9,68.9,2003,3,0
35,romance,french,153,56.5,61.6,2004,0,0
36,romance,english,126,69.9,60.8,2023,1,0
37,action,spanish,127,33.6,35.9,2021,0,0
38,horror,korean,177,60.3,88.3,2008,0,1
39,sci-fi,korean,144,70.0,83.9,2012,2,1
40,action,korean,80,54.4,67.4,1998,1,1
41,sci-fi,english,116,50.4,89.9,2018,0,1
42,thriller,korean,136,97.9,91.6,2005,2,1
43,action,english,157,40.0,70.1,1999,2,0
44,romance,spanish,133,53.8,65.5,2009,0,0
45,comedy,english,113,36.9,47.6,2017,2,0
46,thriller,english,98,82.9,62.3,2013,0,1
47,drama,english,135,52.7,65.7,2021,2,1
48,sci-fi,french,152,62.7,61.3,2011,3,0
49,romance,french,138,60.6,96.0,2015,0,1
50,animation,english,147,66.4,80.8,2023,0,1
51,horror,english,94,62.1,56.9,2017,1,1
52,animation,hindi,178,65.2,50.4,2008,1,1
53,drama,french,175,85.6,62.1,2002,2,1
54,drama,spanish,166,75.6,62.8,1999,0,1
55,drama,english,80,79.9,44.3,2011,1,0
56,action,korean,146,54.1,75.4,2014,2,1
57,romance,hindi,128,60.6,45.5,2017,2,1
58,comedy,hindi,104,76.7,51.8,1999,0,1
59,horror,spanish,141,26.8,64.2,1997,2,0
60,sci-fi,hindi,153,57.7,62.7,2002,0,1
61,romance,english,167,18.5,38.3,1998,3,0
62,animation,hindi,168,68.1,69.4,2001,1,1
63,sci-fi,french,103,4.7,100.0,2006,0,1
64,comedy,hindi,158,61.7,63.3,2017,1,0
