customer_id,age,annual_income,spending_score,visit_frequency
1,59,37808.71,11,7
2,38,45376.9,83,14
3,35,38426.57,73,9
4,44,61630.5,59,5
5,57,52948.72,14,14
6,60,71558.74,13,6
7,32,49167.96,25,11
8,29,28406.61,24,8
9,42,65000.76,54,3
10,45,49478.05,1,5
11,29,75420.2,95,3
12,34,67768.95,81,11
13,61,15000.0,31,4
14,53,19339.54,79,5
15,58,55401.05,88,7
16,43,41303.38,12,6
17,35,15000.0,36,8
18,27,45208.09,59,9
19,49,78040.69,3,10
20,42,66264.13,22,11
21,37,38883.56,46,6
22,29,59980.85,41,4
23,41,73081.71,33,11
24,20,51511.54,15,8
25,20,86747.35,86,3
26,23,42084.22,47,6
27,58,92728.61,87,4
28,34,82461.14,18,5
29,23,64210.58,30,7
30,18,58923.96,22,3
31,62,55464.76,97,10
32,54,38061.56,31,3
33,25,72530.35,13,10
34,55,77797.75,7,5
35,45,69012.32,50,10
36,18,59966.06,75,5
37,23,56816.45,84,10
38,42,38136.09,98,11
39,51,43105.04,18,10
40,38,28890.17,65,9
41,25,63606.1,72,7
42,36,38665.19,14,7
43,58,69992.52,21,7
44,21,42983.67,41,7
45,48,80485.22,30,7
46,62,83137.87,51,5
47,47,82496.56,13,4
48,31,75490.96,18,10
49,28,49424.9,47,9
50,61,49257.92,84,3
51,49,41642.03,90,9
52,36,60828.9,26,6
53,22,85079.52,67,7
54,27,35288.04,78,8
55,39,98517.68,59,10
56,29,44675.04,28,12
57,30,33868.89,55,6
58,29,61007.15,18,8
59,27,74274.17,94,11
60,55,48447.82,80,9
61,40,36517.93,71,8
62,56,86455.37,72,12
63,49,35088.21,59,3
64,55,72809.87,33,8
65,49,57626.2,27,5
66,30,48179.39,42,5
67,31,55754.93,52,12
68,31,35317.77,76,6
69,28,34879.69,68,6
70,43,60423.66,44,11
71,62,36212.88,52,10
72,51,41040.85,51,11
73,55,80991.74,59,4
74,51,87281.85,91,11
75,34,74847.96,50,7
76,57,71030.41,35,8
77,30,50380.48,61,3
78,53,56552.58,1,13
79,19,41627.3,47,3
80,42,15000.0,43,5
81,49,58443.26,88,11
82,50,58902.73,55,7
83,22,72672.44,29,6
84,53,33334.19,99,8
85,19,75557.95,42,11
86,27,45174.19,99,11
87,21,32571.51,76,10
88,63,50191.84,11,5
89,41,71539.98,53,13
90,43,54603.01,19,2
91,39,62738.12,41,8
92,47,38925.83,75,11
93,28,63365.47,63,9
94,49,72474.14,72,7
95,37,38845.24,47,5
96,51,62321.99,32,9
97,44,30568.32,90,9
98,22,58866.27,65,8
99,39,27840.08,48,5
100,21,62038.58,51,11
101,52,54637.82,79,6
102,32,34564.66,34,4
103,64,61242.92,38,8
104,24,37029.18,73,12
105,43,56295.78,43,6
106,53,38346.11,71,7
107,40,64428.89,51,13
108,40,44725.0,90,6
109,52,80570.75,46,8
110,26,62999.85,80,13
111,54,64500.68,64,10
112,36,30916.88,86,8
113,19,17367.59,28,5
114,27,40554.19,64,7
115,39,87479.3,7,7
116,53,38007.58,20,10
117,51,76915.79,48,10
118,36,77547.15,27,6
119,43,44455.04,23,12
120,58,51161.6,72,11
121,61,78487.37,20,9
122,51,50364.78,79,7
123,45,47662.39,65,1
124,39,44617.15,49,3
125,42,56281.72,26,9
126,44,53010.88,8,8
127,61,77196.57,7,12
128,64,59251.77,51,7
129,59,76213.8,23,8
130,51,53080.64,35,5
131,19,100032.84,83,5
132,37,52920.73,84,10
133,53,52397.94,23,2
134,36,40665.79,86,10
135,48,24655.47,67,7
136,58,39445.5,58,6
137,40,58855.96,38,10
138,47,37224.4,57,8
139,46,69937.46,50,5
140,50,25787.28,94,7
141,30,24986.18,36,4
142,25,60531.7,18,8
143,30,61919.22,2,8
144,38,34773.58,37,4
145,61,74498.65,6,9
146,18,79956.9,47,10
147,52,61586.66,57,7
148,43,32023.67,73,9
149,51,77483.41,62,4
150,18,49977.47,99,7
151,20,51972.86,17,11
152,48,63814.04,68,8
153,27,42653.88,68,9
154,24,82270.72,84,9
