movie_id,genre,language,runtime_min,critic_score,audience_score,release_year,num_awards,recommend
1,romance,hindi,124,72.6,82.0,2003,0,1
2,animation,korean,166,33.6,57.6,1998,1,0
3,action,french,154,55.0,35.0,2022,3,0
4,romance,french,153,70.8,20.1,2022,2,0
5,comedy,hindi,137,50.6,71.5,2001,1,0
6,drama,french,143,62.4,57.7,2021,1,0
7,thriller,hindi,86,78.8,78.0,2003,3,1
8,romance,french,169,53.7,93.1,2008,3,1
9,horror,english,103,57.1,63.6,2014,0,0
10,romance,french,82,100.0,58.2,1998,2,1
11,sci-fi,hindi,99,64.0,73.0,1995,1,0
12,comedy,french,108,59.7,63.2,2012,0,1
13,romance,french,92,67.7,56.2,2014,2,1
14,thriller,korean,114,47.0,80.0,1996,0,1
15,horror,hindi,118,63.2,60.0,2020,0,1
16,thriller,spanish,96,31.5,52.7,2001,1,0
17,thriller,hindi,144,96.7,67.2,2001,0,1
18,romance,hindi,153,35.7,95.7,2010,0,0
19,drama,korean,94,49.2,83.8,2014,0,0
20,romance,spanish,143,34.9,90.6,2010,0,1
21,romance,korean,104,79.6,80.5,2012,2,1
22,thriller,hindi,132,65.5,49.6,2005,3,1
23,horror,hindi,124,80.1,87.4,2013,1,1
24,horror,spanish,160,36.1,93.4,1998,1,1
25,action,french,167,49.5,63.9,1999,0,0
26,comedy,french,166,59.5,82.0,2014,1,1
27,thriller,english,171,39.4,61.0,1997,2,0
28,romance,french,81,48.1,43.0,2016,0,1
29,thriller,spanish,100,81.3,78.8,2005,1,1
30,comedy,spanish,155,50.1,67.0,2018,0,1
31,romance,spanish,113,67.6,55.3,2018,2,0
32,romance,english,156,44.5,46.2,1995,2,0
33,comedy,french,145,100.0,77.2,2004,1,1
34,thriller,english,166,77.1,89.3,2004,0,1
35,romance,korean,150,59.1,52.4,2005,0,0
36,comedy,english,128,74.7,72.5,2008,0,1
37,action,spanish,150,45.0,78.4,2011,1,1
38,action,english,111,42.4,89.6,2016,1,1
39,thriller,korean,125,47.7,52.8,1997,3,0
40,horror,spanish,143,72.0,37.4,2008,3,0
41,sci-fi,hindi,137,100.0,61.6,2006,2,1
42,animation,spanish,138,67.5,82.0,2019,1,1
43,sci-fi,korean,109,51.1,77.0,2011,3,1
44,horror,spanish,101,52.6,66.9,2001,2,1
45,action,hindi,166,55.0,39.3,2000,1,0
46,drama,hindi,80,47.4,48.2,2008,1,0
47,comedy,spanish,136,75.4,67.3,2022,1,1
48,drama,korean,148,75.1,54.9,2002,3,1
49,horror,english,90,57.3,62.9,2010,3,1
50,romance,french,132,76.5,60.1,2018,3,1
51,thriller,english,124,43.6,43.0,2011,2,0
52,horror,spanish,104,57.1,59.0,2014,4,1
53,action,spanish,84,60.1,38.6,1996,0,0
54,comedy,hindi,149,73.4,75.2,2014,1,1
55,romance,hindi,156,48.3,85.6,2023,1,1
56,animation,spanish,141,23.1,68.0,2014,1,0
57,sci-fi,korean,173,38.4,46.0,1995,3,0
58,animation,korean,82,42.9,76.7,2016,2,0
59,comedy,spanish,135,83.8,16.8,2017,1,0
60,action,french,81,43.7,43.1,2006,1,0
61,thriller,hindi,160,81.2,48.4,2006,0,1
62,thriller,french,83,42.0,61.8,2014,1,0
63,horror,spanish,98,60.6,73.8,1998,0,1
64,animation,english,135,84.8,71.3,1995,0,1
65,action,english,152,40.1,39.1,2012,1,0
66,action,french,89,90.4,58.0,2000,1,1
67,thriller,french,178,51.2,44.0,2023,1,1
68,thriller,french,128,39.9,64.4,2019,1,0
69,thriller,french,149,27.3,71.3,2016,0,0
70,horror,french,132,45.5,54.0,1999,0,1
71,horror,french,125,44.1,80.0,2012,3,1
72,sci-fi,hindi,150,42.0,55.2,2020,2,0
73,comedy,french,107,47.4,74.2,2021,3,1
74,drama,french,173,79.0,96.7,1996,1,1
75,action,english,126,49.7,50.6,2020,2,0
76,thriller,hindi,178,82.0,70.1,2005,3,1
77,romance,hindi,150,35.4,64.8,2007,1,0
78,drama,french,131,63.5,37.4,2003,1,0
79,romance,english,93,39.4,58.0,2001,0,0
80,sci-fi,hindi,161,79.2,55.8,2018,2,1
81,thriller,french,84,68.7,75.8,1995,0,1
82,comedy,korean,89,43.4,76.7,2000,0,0
83,action,french,150,71.0,62.0,2019,0,1
84,drama,english,109,57.8,85.3,2017,1,0
85,thriller,spanish,154,52.1,72.7,2015,0,0
86,comedy,spanish,80,60.4,85.8,2011,1,1
87,sci-fi,english,149,68.2,37.3,2005,1,0
88,horror,english,116,49.8,67.7,2021,0,1
89,drama,french,158,54.5,66.0,2001,3,0
90,drama,french,102,35.4,81.6,2023,2,0
91,animation,hindi,157,68.6,84.0,2006,1,1
92,animation,english,123,48.0,59.1,2023,2,0
93,horror,english,146,81.5,53.3,2000,0,1
94,comedy,french,103,57.8,82.4,2020,0,1
95,romance,french,141,48.9,45.7,2001,0,0
96,comedy,french,170,95.5,40.2,2014,1,1
97,thriller,korean,171,60.2,63.2,2011,1,0
98,drama,french,83,59.5,67.8,2021,2,1
99,action,spanish,162,42.0,60.8,2010,3,0
100,romance,spanish,154,56.4,64.4,2004,1,1
101,horror,hindi,108,61.1,58.7,2013,2,0
102,sci-fi,french,129,82.6,64.2,2023,0,1
103,drama,hindi,110,71.6,59.4,2006,2,1
104,comedy,french,159,25.2,71.3,1996,2,0
105,comedy,hindi,153,74.3,48.1,2008,2,0
106,animation,spanish,124,95.3,70.8,2011,2,1
107,romance,spanish,130,83.0,67.7,2019,0,1
108,thriller,korean,161,47.2,85.2,2019,1,1
109,sci-fi,hindi,143,75.3,65.7,2015,1,1
110,thriller,hindi,168,57.7,66.6,2020,1,1
111,horror,korean,113,68.8,71.8,2011,4,0
112,drama,english,106,72.7,72.9,1998,0,1
113,drama,spanish,121,54.9,52.1,1998,0,0
114,drama,hindi,163,66.5,74.7,1999,1,1
115,romance,korean,122,31.4,48.3,2013,0,0
116,horror,spanish,178,55.0,84.2,2004,2,1
117,thriller,korean,140,50.7,51.3,2019,2,0
118,thriller,french,81,71.7,63.8,2009,1,1
119,drama,hindi,141,71.7,74.0,2015,2,1
120,thriller,korean,87,64.9,75.9,2007,0,1
121,comedy,french,142,80.7,60.7,2007,2,1
122,action,french,100,52.5,72.6,2000,3,1
123,drama,french,163,34.3,73.5,2021,0,0
124,comedy,spanish,157,33.7,44.0,2015,2,0
125,comedy,english,166,76.7,61.8,2004,3,1
126,thriller,english,178,53.4,68.3,2010,3,1
127,horror,korean,151,33.7,63.2,1997,0,0
128,thriller,spanish,112,44.5,70.9,2003,0,0
129,romance,english,97,21.1,69.2,2013,0,1
130,romance,hindi,157,47.0,97.3,1998,1,0
131,action,korean,81,77.4,59.6,1999,2,1
132,thriller,french,143,61.1,58.0,2002,1,1
133,horror,spanish,128,75.5,78.1,2019,2,1
134,animation,spanish,158,54.7,52.8,2001,1,1
135,action,english,127,59.0,71.8,2000,0,0
136,horror,hindi,178,46.1,47.6,2010,3,0
137,animation,hindi,177,86.9,43.9,1996,1,1
138,comedy,korean,84,77.1,61.9,2008,1,1
139,animation,spanish,175,80.9,61.2,2005,2,1
140,romance,french,141,46.3,72.2,2018,1,0
141,animation,korean,154,70.5,87.7,1999,0,1
142,comedy,french,106,63.4,61.0,2010,2,1
143,thriller,spanish,80,96.9,76.4,2004,0,1
144,comedy,hindi,82,58.5,66.2,2008,2,1
145,action,spanish,100,88.3,47.2,2001,1,1
