customer_id,age,annual_income,spending_score,visit_frequency
1,54,84758.58,15,2
2,35,55979.98,2,11
3,49,43048.41,72,11
4,27,100606.33,50,5
5,62,37105.3,17,10
6,22,55013.58,34,8
7,30,54734.48,61,4
8,48,32133.94,10,6
9,18,69254.33,6,14
10,39,74133.04,84,7
11,24,53528.35,16,7
12,64,56034.6,7,3
13,33,52068.18,82,5
14,58,23295.21,69,5
15,33,59383.18,41,8
16,57,32620.94,22,8
17,20,37778.38,27,10
18,20,62144.05,71,10
19,30,71648.53,10,7
20,44,39395.51,86,7
21,25,75522.87,90,11
22,46,86801.36,27,4
23,42,58090.23,61,7
24,20,53639.66,71,5
25,34,58666.12,98,12
26,40,47803.13,47,9
27,60,39668.51,78,7
28,33,66634.09,74,11
29,33,67975.35,52,8
30,28,46044.8,12,6
31,40,47778.62,88,2
32,55,43859.7,1,7
33,34,42453.81,46,6
34,37,37649.99,56,10
35,48,27974.27,50,5
36,22,71295.93,55,10
37,45,48753.3,36,10
38,35,56275.25,5,9
39,45,87241.84,64,5
40,60,46320.76,55,10
41,28,65397.43,28,11
42,36,30797.34,54,11
43,36,43782.66,1,4
44,26,67458.65,11,9
45,36,50302.66,1,5
46,21,29302.16,60,9
47,29,27446.59,79,7
48,42,60954.21,23,7
49,38,38224.96,19,10
50,49,67061.48,91,5
51,60,59781.75,27,6
52,37,49143.84,58,14
53,64,53671.41,89,8
54,57,68277.03,38,7
55,33,55433.42,13,5
56,42,37902.12,45,6
57,49,60787.77,16,4
58,55,48530.59,42,5
59,32,50713.05,90,6
60,44,65002.39,47,14
61,59,60677.85,65,10
62,45,72952.51,68,5
63,64,51534.19,53,7
64,37,46735.74,78,7
65,47,48807.09,64,3
66,23,61551.21,44,7
67,29,40562.94,56,6
68,51,48463.68,85,9
69,20,39887.62,65,14
70,58,41100.42,83,7
71,37,51716.38,40,8
72,52,97637.91,97,14
73,56,48127.57,27,11
74,37,59466.41,62,6
75,31,56584.88,71,9
76,22,51833.04,61,13
77,23,55471.34,79,6
78,26,89492.09,10,5
79,18,50337.3,23,6
80,43,83205.19,10,4
81,46,66375.11,6,12
82,48,39644.88,91,8
83,49,43532.75,14,9
84,19,46849.03,52,9
85,37,35841.91,59,14
86,62,75162.62,76,9
87,43,62222.94,38,7
88,51,64269.78,67,8
89,27,36916.46,89,11
90,51,63165.77,98,9
91,51,45544.61,6,5
92,64,97665.65,33,4
93,18,53381.7,28,4
94,47,59953.84,70,11
95,54,62267.45,12,11
96,41,46653.8,74,4
97,26,48123.8,59,4
98,28,48074.43,2,10
99,34,69932.11,41,10
100,50,42200.06,67,2
101,59,52177.34,90,5
102,50,60754.03,16,8
103,38,47805.19,23,14
104,62,31025.84,38,9
105,34,34065.35,57,8
106,61,47672.78,18,6
107,41,38003.31,65,9
108,41,71832.34,3,10
109,59,55202.52,64,11
110,58,54462.85,24,8
111,24,37234.86,12,9
112,63,64089.76,50,8
113,25,48633.83,93,3
114,37,38217.61,76,8
115,45,43684.96,39,8
116,46,96555.66,51,5
117,56,44212.18,51,6
118,45,39664.05,84,7
119,36,74991.0,73,7
