movie_id,genre,language,runtime_min,critic_score,audience_score,release_year,num_awards,recommend
1,thriller,korean,137,68.5,91.3,2011,0,1
2,thriller,korean,89,31.9,72.1,2014,3,0
3,comedy,hindi,111,65.7,67.5,2010,1,0
4,comedy,korean,145,28.1,44.6,1997,2,0
5,romance,english,139,36.9,44.4,2000,2,1
6,sci-fi,spanish,91,54.0,42.8,2005,0,0
7,action,french,165,67.6,78.7,2010,3,1
8,comedy,hindi,115,62.3,75.9,2023,1,1
9,comedy,french,89,51.2,75.3,2015,1,0
10,thriller,hindi,110,69.5,78.1,2015,0,1
11,comedy,spanish,88,20.2,44.2,2010,2,0
12,romance,spanish,172,65.1,65.0,2016,1,1
13,action,hindi,143,60.4,64.2,2009,1,0
14,thriller,english,126,36.9,60.5,1997,1,0
15,drama,english,109,66.1,42.4,2000,0,0
16,action,english,115,68.1,87.6,2004,1,1
17,romance,english,94,82.8,57.1,2010,2,1
18,animation,spanish,163,69.4,59.3,2011,1,1
19,comedy,hindi,90,61.1,86.8,2009,2,0
20,animation,french,162,87.7,39.3,2001,0,0
21,drama,spanish,102,78.6,70.2,2015,1,1
22,action,english,109,75.0,66.1,1999,1,1
23,romance,spanish,119,42.1,70.5,1995,3,0
24,horror,french,124,64.6,59.1,2017,1,1
25,drama,hindi,145,52.7,56.8,2020,0,0
26,horror,hindi,82,48.3,59.2,2000,2,1
27,comedy,hindi,150,24.0,27.8,2007,1,0
28,comedy,spanish,146,59.2,62.6,2015,1,0
29,animation,french,113,87.6,64.1,2017,1,1
30,thriller,spanish,96,100.0,73.8,2007,4,1
31,action,spanish,92,76.9,56.8,1997,2,1
32,romance,korean,154,43.4,82.8,2001,0,0
33,action,french,143,75.5,64.5,2015,1,0
34,comedy,hindi,142,49.1,47.8,2001,0,0
35,horror,spanish,139,89.4,41.3,2020,1,1
36,romance,korean,103,82.7,50.9,1996,1,1
37,action,korean,86,39.8,66.7,2003,1,0
38,action,spanish,173,67.8,39.5,2021,1,1
39,action,spanish,135,29.4,44.5,2017,1,0
40,action,english,130,54.2,53.3,2015,2,1
41,sci-fi,english,179,56.4,41.1,2019,0,0
42,romance,spanish,145,85.0,50.9,1995,3,0
43,action,korean,162,50.1,53.0,2002,3,0
44,romance,hindi,119,44.8,72.4,2016,0,1
45,animation,korean,150,69.1,31.9,2008,0,0
46,drama,korean,103,44.5,71.1,2000,1,1
47,sci-fi,hindi,122,38.7,60.0,2009,0,0
48,animation,french,97,89.2,57.3,2005,2,1
49,animation,french,106,64.7,74.7,2000,3,0
50,drama,korean,80,64.3,42.6,2002,0,0
51,comedy,hindi,126,72.1,73.2,2018,2,1
52,thriller,hindi,89,53.7,87.0,2012,1,1
53,horror,korean,103,73.2,54.4,2023,3,0
54,drama,hindi,92,46.2,68.2,2016,1,0
55,sci-fi,hindi,121,58.0,77.0,2013,1,1
56,thriller,korean,126,45.8,63.3,2012,2,0
57,drama,spanish,91,52.0,81.3,1998,1,1
58,action,korean,104,75.9,45.3,2002,2,1
59,action,korean,118,99.6,34.7,2003,0,1
60,thriller,hindi,151,37.7,53.3,2023,1,0
61,drama,hindi,84,74.7,89.7,2008,0,1
62,thriller,hindi,142,76.7,64.4,1995,3,1
63,comedy,french,114,74.4,68.1,2020,1,1
64,romance,hindi,80,32.7,67.0,2000,0,0
65,horror,english,85,77.3,49.8,2002,1,1
66,drama,spanish,104,81.7,57.0,2021,1,1
67,romance,french,144,96.8,33.7,2008,1,0
68,drama,spanish,151,73.7,60.8,2009,1,1
69,sci-fi,english,98,89.7,43.3,2013,0,0
70,sci-fi,english,164,88.8,68.6,2004,3,1
71,drama,french,141,46.7,74.2,2019,1,0
72,drama,spanish,115,70.3,66.7,2021,0,1
73,horror,french,152,82.3,84.2,2019,0,1
74,drama,hindi,173,65.3,64.3,2012,1,1
75,sci-fi,english,166,70.1,100.0,2001,2,1
76,romance,hindi,126,50.5,81.0,2005,1,1
77,sci-fi,english,105,40.4,75.9,1997,2,1
78,sci-fi,english,108,48.1,75.1,2007,0,0
79,animation,spanish,169,51.3,77.7,2004,2,1
80,action,korean,160,77.5,62.0,2019,0,0
81,comedy,spanish,91,42.2,66.9,2018,0,0
82,thriller,hindi,134,65.0,64.3,2000,2,1
83,sci-fi,hindi,136,56.9,90.5,2017,3,1
84,animation,spanish,147,49.8,50.4,2014,3,1
85,romance,spanish,140,81.4,55.4,2014,2,1
86,drama,french,146,56.3,50.1,2015,0,0
87,action,english,86,63.7,78.4,1997,1,1
88,comedy,korean,105,43.3,61.8,2018,1,0
89,thriller,english,80,85.1,100.0,1997,1,1
90,sci-fi,english,136,46.2,58.3,1999,2,1
91,action,spanish,95,59.1,57.6,2010,2,1
92,comedy,french,151,100.0,67.2,2023,1,1
93,sci-fi,spanish,178,35.3,84.5,2014,1,1
94,thriller,hindi,126,61.1,54.9,2003,3,0
95,thriller,hindi,118,62.0,59.7,2006,2,1
96,action,french,103,80.7,93.6,2000,0,1
97,animation,english,89,75.9,59.8,2013,1,1
98,thriller,spanish,117,32.5,51.9,2004,1,0
99,sci-fi,french,86,52.1,66.0,2010,2,0
100,drama,hindi,149,37.3,57.4,1998,2,0
101,action,french,87,88.1,62.1,2002,3,1
102,action,french,160,55.0,90.1,2015,2,1
103,romance,spanish,120,72.8,92.2,1999,2,0
104,horror,korean,144,24.3,61.8,2016,1,0
105,animation,korean,123,49.1,43.8,2021,1,0
106,thriller,korean,104,57.9,76.9,2003,2,0
107,sci-fi,korean,132,83.5,80.1,2010,1,1
108,comedy,korean,121,47.6,43.9,2013,1,1
109,comedy,english,108,62.1,47.0,2005,1,0
110,romance,korean,101,53.5,64.0,2006,2,0
111,drama,hindi,100,64.8,60.3,2002,1,1
112,animation,hindi,119,55.4,70.6,2014,0,1
113,romance,english,112,33.8,77.2,2020,1,0
114,thriller,english,102,27.4,46.9,2016,0,0
115,romance,english,149,67.7,73.7,1996,2,1
116,sci-fi,spanish,104,55.7,63.2,2021,1,0
